"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";12;22;27;36;41;68;97;117;144;156;183;177;554;1634
"33002 SANTO ANTONIO DE PADUA";9;6;23;20;26;58;52;75;90;96;120;134;407;1116
"33003 CAMPOS DOS GOYTACAZES";118;102;110;127;168;195;289;375;427;450;464;544;1388;4757
"33004 MACAE";45;46;41;52;65;80;104;110;153;159;155;179;399;1588
"33005 TRES RIOS";13;23;23;34;33;53;74;109;121;145;131;133;389;1281
"33006 CANTAGALO-CORDEIRO";3;10;7;17;16;16;32;35;60;46;55;61;192;550
"33007 NOVA FRIBURGO";22;31;39;40;38;81;93;150;184;156;225;241;639;1939
"33008 SANTA MARIA MADALENA";4;3;2;4;5;11;11;20;19;22;32;27;92;252
"33009 BACIA DE SAO JOAO";38;36;41;36;42;54;67;86;113;104;102;136;308;1163
"33010 LAGOS";119;83;91;104;123;188;244;358;419;440;445;544;1156;4314
"33011 VALE DO PARAIBA FLUMINENSE";77;81;109;127;157;212;308;400;551;570;522;608;1508;5230
"33012 BARRA DO PIRAI";17;15;29;21;40;48;101;121;157;174;170;171;452;1516
"33013 BAIA DA ILHA GRANDE";45;36;45;45;46;52;68;102;121;134;108;123;256;1181
"33014 VASSOURAS";17;27;31;27;43;69;96;125;143;168;160;157;449;1512
"33015 SERRANA";41;65;60;84;115;178;226;316;404;446;480;498;1408;4321
"33016 MACACU-CACERIBU";12;14;19;21;26;36;46;65;89;96;94;85;252;855
"33017 ITAGUAI";42;58;40;52;64;85;125;168;211;205;193;201;423;1867
"33018 RIO DE JANEIRO";1990;1694;1785;2021;2541;3489;5207;7265;9055;10180;10199;11208;31493;98127
"Total";2624;2352;2522;2868;3589;4973;7240;9997;12461;13747;13838;15227;41765;133203
