"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";25;16;25;25;45;72;104;119;164;200;193;228;623;1839
"33002 SANTO ANTONIO DE PADUA";11;15;15;17;23;44;58;84;86;102;114;134;402;1105
"33003 CAMPOS DOS GOYTACAZES";79;87;96;120;157;200;291;399;478;525;592;594;1585;5203
"33004 MACAE";55;45;52;57;57;78;100;121;182;160;171;169;435;1682
"33005 TRES RIOS";26;35;23;31;46;42;81;99;135;160;178;161;432;1449
"33006 CANTAGALO-CORDEIRO";2;8;7;12;14;16;28;39;48;52;67;64;203;560
"33007 NOVA FRIBURGO";16;25;21;33;62;66;108;137;166;206;220;227;654;1941
"33008 SANTA MARIA MADALENA";1;2;2;5;3;13;12;6;21;27;31;32;73;228
"33009 BACIA DE SAO JOAO";20;25;29;31;39;62;74;89;133;140;147;135;304;1228
"33010 LAGOS";101;89;106;112;144;162;274;359;443;538;546;487;1330;4691
"33011 VALE DO PARAIBA FLUMINENSE";95;97;102;135;126;186;272;394;586;656;630;612;1735;5626
"33012 BARRA DO PIRAI";15;15;13;30;46;48;80;111;167;150;186;157;518;1536
"33013 BAIA DA ILHA GRANDE";52;42;34;40;57;74;74;111;119;127;150;138;303;1321
"33014 VASSOURAS";20;15;9;25;31;49;90;118;140;177;182;168;472;1496
"33015 SERRANA";37;43;47;77;116;162;224;293;413;481;496;510;1477;4376
"33016 MACACU-CACERIBU";18;17;18;20;21;30;53;67;91;88;104;103;259;889
"33017 ITAGUAI";39;42;44;47;69;74;114;156;183;220;245;190;424;1847
"33018 RIO DE JANEIRO";2019;1786;1764;2129;2536;3420;4805;6933;9418;10849;11237;11229;32789;100914
"Total";2631;2404;2407;2946;3592;4798;6842;9635;12973;14858;15489;15338;44018;137931
