"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";18;22;28;19;49;60;69;105;150;161;176;191;511;1559
"33002 SANTO ANTONIO DE PADUA";12;14;18;22;33;34;44;70;104;99;121;124;401;1096
"33003 CAMPOS DOS GOYTACAZES";105;93;109;123;160;210;301;365;426;534;519;569;1469;4983
"33004 MACAE";52;51;41;47;59;63;111;141;159;178;166;146;427;1641
"33005 TRES RIOS";14;20;17;28;44;61;73;94;134;146;160;119;405;1315
"33006 CANTAGALO-CORDEIRO";5;6;16;11;16;27;25;45;60;45;49;56;141;502
"33007 NOVA FRIBURGO";22;26;24;44;54;75;108;157;175;211;198;254;716;2064
"33008 SANTA MARIA MADALENA";-;1;7;6;5;8;14;17;16;26;24;26;77;227
"33009 BACIA DE SAO JOAO";43;23;24;22;39;51;74;88;128;159;144;115;317;1227
"33010 LAGOS";106;83;98;108;136;149;236;367;448;486;470;490;1260;4437
"33011 VALE DO PARAIBA FLUMINENSE";90;93;84;116;140;204;307;461;558;611;567;601;1590;5422
"33012 BARRA DO PIRAI";18;14;27;29;27;71;92;114;137;172;171;168;473;1513
"33013 BAIA DA ILHA GRANDE";75;46;43;50;51;64;71;102;125;134;131;142;297;1331
"33014 VASSOURAS";22;19;29;22;34;55;77;116;143;161;175;185;472;1510
"33015 SERRANA";47;42;56;78;116;154;243;311;450;470;508;526;1449;4450
"33016 MACACU-CACERIBU";17;10;17;21;26;45;51;56;80;80;98;99;260;860
"33017 ITAGUAI";64;39;42;49;63;83;102;165;200;233;199;215;451;1905
"33018 RIO DE JANEIRO";2102;1742;1692;2111;2506;3325;4869;7164;9334;10370;10335;10804;31215;97569
"Total";2812;2344;2372;2906;3558;4739;6867;9938;12827;14276;14211;14830;41931;133611
