"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";22;29;32;38;47;82;88;100;114;157;156;188;434;1487
"33002 SANTO ANTONIO DE PADUA";12;19;21;30;33;39;56;58;77;89;100;106;306;946
"33003 CAMPOS DOS GOYTACAZES";110;139;99;115;185;219;258;296;339;385;478;556;993;4172
"33004 MACAE";48;50;53;43;55;69;82;89;85;105;114;123;270;1186
"33005 TRES RIOS";16;11;26;36;54;61;74;83;100;117;120;140;295;1133
"33006 CANTAGALO-CORDEIRO";5;8;7;13;28;28;31;30;39;33;62;62;139;485
"33007 NOVA FRIBURGO";25;37;39;49;77;79;112;134;133;158;182;209;494;1728
"33008 SANTA MARIA MADALENA";4;2;2;3;9;11;11;14;14;24;23;23;53;193
"33009 BACIA DE SAO JOAO";19;19;25;28;25;39;37;46;62;62;75;71;170;678
"33010 LAGOS";103;92;94;113;120;195;249;274;252;346;373;361;710;3282
"33011 VALE DO PARAIBA FLUMINENSE";90;83;107;104;155;256;325;354;408;427;480;539;1065;4393
"33012 BARRA DO PIRAI";19;22;29;37;54;71;103;108;104;129;155;164;355;1350
"33013 BAIA DA ILHA GRANDE";26;43;38;31;47;51;64;70;83;81;102;95;183;914
"33014 VASSOURAS";14;17;25;31;45;72;79;101;106;112;137;157;344;1240
"33015 SERRANA";35;42;70;78;140;166;224;295;343;336;467;441;988;3625
"33016 MACACU-CACERIBU";11;12;13;27;25;43;47;51;59;86;67;92;177;710
"33017 ITAGUAI";36;39;27;50;63;92;112;113;131;140;140;154;270;1367
"33018 RIO DE JANEIRO";1967;2016;1892;2103;2975;4274;5679;6550;7274;8166;9466;10414;22384;85160
"Total";2562;2680;2599;2929;4137;5847;7631;8766;9723;10953;12697;13895;29630;114049
