"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";26;30;23;50;65;46;85;101;87;133;161;195;362;1364
"33002 SANTO ANTONIO DE PADUA";7;6;18;19;36;27;45;60;60;94;94;101;281;848
"33003 CAMPOS DOS GOYTACAZES";104;100;103;116;187;199;272;293;342;412;450;481;996;4055
"33004 MACAE";59;39;54;52;61;61;84;72;79;124;108;139;232;1164
"33005 TRES RIOS";24;23;21;37;38;47;79;87;83;107;126;116;244;1032
"33006 CANTAGALO-CORDEIRO";5;7;10;11;22;23;19;26;33;40;55;50;120;421
"33007 NOVA FRIBURGO";35;31;45;55;53;94;96;120;133;169;172;224;478;1705
"33008 SANTA MARIA MADALENA";2;2;3;9;7;12;17;11;17;14;24;40;50;208
"33009 BACIA DE SAO JOAO";20;20;24;30;44;38;41;52;50;56;71;69;166;681
"33010 LAGOS";85;93;92;116;134;153;235;210;274;273;315;309;561;2850
"33011 VALE DO PARAIBA FLUMINENSE";84;100;101;122;173;256;307;336;318;403;428;495;916;4039
"33012 BARRA DO PIRAI";18;20;28;26;49;69;72;82;77;93;93;99;217;943
"33013 BAIA DA ILHA GRANDE";33;29;31;23;37;74;71;78;78;73;89;67;168;851
"33014 VASSOURAS";15;21;30;42;58;62;73;92;99;142;126;143;287;1190
"33015 SERRANA";49;49;60;95;128;177;237;269;292;352;432;466;966;3572
"33016 MACACU-CACERIBU";6;22;17;17;33;37;47;59;70;68;79;85;175;715
"33017 ITAGUAI";32;38;30;48;46;64;103;96;115;119;127;114;217;1149
"33018 RIO DE JANEIRO";2237;2056;1918;2214;3115;4260;5421;6151;6683;7996;9375;10440;20685;82551
"Total";2841;2686;2608;3082;4286;5699;7304;8195;8890;10668;12325;13633;27121;109338
