"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";17;20;31;43;53;70;90;74;99;146;176;154;323;1296
"33002 SANTO ANTONIO DE PADUA";19;16;11;18;29;42;45;58;66;82;111;113;243;853
"33003 CAMPOS DOS GOYTACAZES";94;89;91;130;161;182;185;234;320;360;395;365;848;3454
"33004 MACAE";45;36;49;54;66;54;62;66;74;83;103;76;220;988
"33005 TRES RIOS";14;17;36;40;56;81;62;72;76;94;122;115;216;1001
"33006 CANTAGALO-CORDEIRO";4;8;15;22;13;33;25;35;28;29;49;54;99;414
"33007 NOVA FRIBURGO";32;39;43;62;62;78;84;86;102;138;146;154;353;1379
"33008 SANTA MARIA MADALENA";6;1;4;7;6;7;16;15;18;19;29;21;48;197
"33009 BACIA DE SAO JOAO";15;16;14;23;23;32;26;32;39;35;42;43;76;416
"33010 LAGOS";80;84;78;110;125;137;196;192;218;219;259;241;416;2355
"33011 VALE DO PARAIBA FLUMINENSE";100;107;109;167;198;255;269;263;354;393;408;407;729;3759
"33012 BARRA DO PIRAI";24;23;34;43;57;76;90;92;104;100;139;155;280;1217
"33013 BAIA DA ILHA GRANDE";26;33;31;36;52;54;49;58;81;86;71;74;119;770
"33014 VASSOURAS";10;20;28;37;60;59;69;82;100;114;142;118;238;1077
"33015 SERRANA";58;59;93;126;176;208;223;237;334;381;426;425;785;3531
"33016 MACACU-CACERIBU";13;20;23;28;31;51;34;45;43;62;80;57;125;612
"33017 ITAGUAI";28;26;45;49;70;76;99;71;102;100;137;109;214;1126
"33018 RIO DE JANEIRO";2307;2092;2243;2760;3555;4557;5275;5622;6853;8347;9395;8976;16630;78612
"Total";2892;2706;2978;3755;4793;6052;6899;7334;9011;10788;12230;11657;21962;103057
