"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";32;30;34;31;39;46;74;77;80;115;148;129;292;1127
"33002 SANTO ANTONIO DE PADUA";14;17;22;19;31;40;33;46;70;66;85;81;170;694
"33003 CAMPOS DOS GOYTACAZES";73;109;104;120;115;144;200;244;286;329;371;423;746;3264
"33004 MACAE";31;29;33;28;36;27;44;49;58;70;61;70;90;626
"33005 TRES RIOS";32;36;35;38;41;75;54;77;70;91;93;85;161;888
"33006 CANTAGALO-CORDEIRO";6;5;6;8;19;17;17;23;25;36;43;37;83;325
"33007 NOVA FRIBURGO";33;42;59;48;44;56;68;102;91;134;151;147;227;1202
"33008 SANTA MARIA MADALENA";5;5;6;6;6;4;12;13;9;9;21;17;35;148
"33009 BACIA DE SAO JOAO";11;7;9;10;3;11;13;23;27;29;24;25;53;245
"33010 LAGOS";62;83;83;77;67;74;81;138;118;124;129;161;263;1460
"33011 VALE DO PARAIBA FLUMINENSE";106;130;148;179;165;213;201;258;287;293;284;266;390;2920
"33012 BARRA DO PIRAI";31;26;38;48;68;64;64;107;124;129;122;124;198;1143
"33013 BAIA DA ILHA GRANDE";26;32;43;25;31;43;41;43;46;36;41;56;67;530
"33014 VASSOURAS";22;33;34;51;46;58;52;90;98;94;107;92;154;931
"33015 SERRANA";79;74;120;137;121;178;231;253;297;298;326;319;509;2942
"33016 MACACU-CACERIBU";15;20;22;25;25;28;41;40;48;59;60;66;140;589
"33017 ITAGUAI";36;33;34;37;52;54;55;70;68;64;74;71;89;737
"33018 RIO DE JANEIRO";2405;2706;2745;2954;3112;3880;4953;6263;6860;6961;7150;7201;12297;69487
"Total";3019;3417;3575;3841;4021;5012;6234;7916;8662;8937;9290;9370;15964;89258
