"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";27;18;27;49;68;85;86;145;185;205;210;216;690;2011
"33002 SANTO ANTONIO DE PADUA";19;13;24;30;29;55;47;87;92;145;142;155;460;1298
"33003 CAMPOS DOS GOYTACAZES";96;83;103;148;170;210;340;450;594;633;688;705;1760;5980
"33004 MACAE";61;55;47;61;64;101;106;162;219;211;237;188;502;2014
"33005 TRES RIOS";19;18;22;29;52;69;113;123;152;209;195;174;430;1605
"33006 CANTAGALO-CORDEIRO";6;1;8;16;14;20;34;34;49;62;79;62;199;584
"33007 NOVA FRIBURGO";33;21;28;48;53;83;120;174;199;234;255;288;743;2279
"33008 SANTA MARIA MADALENA";2;6;3;7;9;15;9;11;22;18;34;35;91;262
"33009 BACIA DE SAO JOAO";39;35;29;42;49;64;78;116;138;167;179;156;432;1524
"33010 LAGOS";97;84;91;113;134;233;294;428;605;635;669;659;1651;5693
"33011 VALE DO PARAIBA FLUMINENSE";118;80;102;151;193;222;344;533;664;827;798;755;1784;6571
"33012 BARRA DO PIRAI";22;25;20;33;43;62;93;133;166;197;179;203;515;1691
"33013 BAIA DA ILHA GRANDE";40;38;43;43;51;62;91;141;163;169;204;182;362;1589
"33014 VASSOURAS";19;30;26;28;43;59;91;140;179;182;202;198;572;1769
"33015 SERRANA";34;46;70;93;127;181;225;349;429;550;612;588;1597;4901
"33016 MACACU-CACERIBU";21;12;18;20;33;44;77;74;79;106;133;124;304;1045
"33017 ITAGUAI";44;37;61;67;99;106;152;186;254;287;267;258;523;2341
"33018 RIO DE JANEIRO";1914;1801;1938;2546;3416;4309;6141;8779;11837;14286;14777;13818;37661;123223
"Total";2611;2403;2660;3524;4647;5980;8441;12065;16026;19123;19860;18764;50276;166380
