"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";21;24;29;24;39;51;49;75;83;99;123;135;218;970
"33002 SANTO ANTONIO DE PADUA";14;19;24;19;24;25;45;68;60;73;94;82;134;681
"33003 CAMPOS DOS GOYTACAZES";103;79;111;115;107;171;205;219;251;306;356;378;651;3052
"33004 MACAE";28;37;26;34;35;29;41;54;52;58;91;79;127;691
"33005 TRES RIOS";20;37;47;47;39;64;81;59;71;88;76;76;144;849
"33006 CANTAGALO-CORDEIRO";7;8;13;13;14;14;31;32;32;28;52;31;60;335
"33007 NOVA FRIBURGO";27;40;52;49;45;63;78;93;123;98;125;134;205;1132
"33008 SANTA MARIA MADALENA";6;6;3;3;9;7;8;20;15;20;26;22;33;178
"33009 BACIA DE SAO JOAO";11;10;8;16;14;16;15;20;21;25;24;24;58;262
"33010 LAGOS";51;54;48;54;44;68;72;90;104;98;122;92;197;1094
"33011 VALE DO PARAIBA FLUMINENSE";165;167;150;161;173;187;217;250;295;269;314;197;347;2892
"33012 BARRA DO PIRAI";32;32;47;45;49;62;70;93;89;95;107;102;173;996
"33013 BAIA DA ILHA GRANDE";9;13;25;22;23;21;36;36;38;49;49;44;70;435
"33014 VASSOURAS";34;33;32;34;39;59;69;94;93;87;95;97;157;923
"33015 SERRANA";72;104;94;121;109;167;200;262;264;314;314;298;452;2771
"33016 MACACU-CACERIBU";27;22;24;30;36;29;42;50;59;41;68;58;103;589
"33017 ITAGUAI";40;29;41;37;31;41;52;60;64;52;59;51;79;636
"33018 RIO DE JANEIRO";2410;2312;2500;2787;3019;3644;4702;6000;6336;6510;6943;6412;10843;64418
"Total";3077;3026;3274;3611;3849;4718;6013;7575;8050;8310;9038;8312;14051;82904
