"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";28;29;43;61;58;58;74;97;107;142;154;152;331;1334
"33002 SANTO ANTONIO DE PADUA";11;10;19;35;33;42;49;60;68;90;88;123;210;838
"33003 CAMPOS DOS GOYTACAZES";80;108;129;112;134;178;183;251;328;337;353;431;756;3380
"33004 MACAE";22;31;38;39;37;32;46;52;72;70;75;61;167;742
"33005 TRES RIOS";21;21;32;47;54;61;52;82;96;87;95;88;167;903
"33006 CANTAGALO-CORDEIRO";14;10;8;16;14;18;25;31;40;37;47;39;95;394
"33007 NOVA FRIBURGO";35;30;50;53;72;67;80;101;89;136;161;149;275;1298
"33008 SANTA MARIA MADALENA";1;3;5;8;7;7;6;7;21;18;14;29;51;177
"33009 BACIA DE SAO JOAO";7;14;15;11;31;15;18;19;21;27;32;43;55;308
"33010 LAGOS";55;70;79;90;109;97;114;153;178;150;157;142;303;1697
"33011 VALE DO PARAIBA FLUMINENSE";159;151;185;196;229;216;230;286;345;367;342;318;462;3486
"33012 BARRA DO PIRAI";18;32;53;63;58;67;74;99;123;141;126;125;225;1204
"33013 BAIA DA ILHA GRANDE";26;16;32;29;42;38;36;52;41;57;59;47;92;567
"33014 VASSOURAS";25;28;46;47;59;55;79;86;83;128;99;108;199;1042
"33015 SERRANA";61;87;105;150;161;193;240;258;331;352;390;334;621;3283
"33016 MACACU-CACERIBU";13;29;32;28;41;32;39;45;64;82;86;78;134;703
"33017 ITAGUAI";33;43;28;59;55;53;50;54;84;106;81;69;131;846
"33018 RIO DE JANEIRO";2584;2899;3139;3578;4092;4402;4872;5985;7395;8225;8069;7755;14130;77125
"Total";3193;3611;4038;4622;5286;5631;6267;7718;9486;10552;10428;10091;18404;99327
