"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";16;25;40;39;48;42;53;84;91;105;113;133;205;994
"33002 SANTO ANTONIO DE PADUA";16;11;27;27;35;35;35;50;62;56;93;91;154;692
"33003 CAMPOS DOS GOYTACAZES";86;119;112;116;112;138;199;276;257;298;382;389;670;3154
"33004 MACAE";15;34;30;24;35;36;49;55;38;59;64;73;138;650
"33005 TRES RIOS";33;21;36;37;38;53;62;72;77;79;79;93;153;833
"33006 CANTAGALO-CORDEIRO";5;8;13;14;17;23;26;25;29;36;34;36;60;326
"33007 NOVA FRIBURGO";34;38;53;34;59;36;76;90;93;107;140;122;210;1092
"33008 SANTA MARIA MADALENA";3;2;2;3;4;11;14;12;25;10;23;21;24;154
"33009 BACIA DE SAO JOAO";8;17;11;11;15;9;21;20;20;17;21;23;39;232
"33010 LAGOS";59;55;62;57;65;85;90;115;103;111;122;89;216;1229
"33011 VALE DO PARAIBA FLUMINENSE";126;143;144;163;165;176;230;257;320;301;272;222;421;2940
"33012 BARRA DO PIRAI";29;31;40;37;45;49;58;98;82;104;113;103;183;972
"33013 BAIA DA ILHA GRANDE";16;16;22;33;30;38;33;23;41;38;55;46;84;475
"33014 VASSOURAS";19;33;25;37;47;65;71;75;92;104;114;90;193;965
"33015 SERRANA";80;100;124;123;138;172;181;230;275;296;327;299;442;2787
"33016 MACACU-CACERIBU";19;21;24;22;41;30;36;44;39;54;66;52;127;575
"33017 ITAGUAI";46;36;35;40;46;59;51;56;64;78;78;69;99;757
"33018 RIO DE JANEIRO";2332;2445;2536;2825;3053;3756;4807;5958;6463;6564;6895;6635;11502;65771
"Total";2942;3155;3336;3642;3993;4813;6092;7540;8171;8417;8991;8586;14920;84598
