"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";17;19;29;41;47;78;85;67;95;114;162;181;364;1299
"33002 SANTO ANTONIO DE PADUA";13;9;14;29;34;41;52;78;77;67;103;130;247;894
"33003 CAMPOS DOS GOYTACAZES";107;104;117;151;184;165;239;250;316;372;418;403;923;3749
"33004 MACAE";59;50;42;50;68;43;80;64;79;75;90;82;231;1013
"33005 TRES RIOS";18;24;25;43;67;71;52;72;89;106;134;105;243;1049
"33006 CANTAGALO-CORDEIRO";4;8;9;8;19;23;17;52;32;34;52;54;118;430
"33007 NOVA FRIBURGO";43;37;46;54;69;76;101;89;130;164;168;180;388;1545
"33008 SANTA MARIA MADALENA";1;6;5;7;9;14;11;19;22;14;23;30;61;222
"33009 BACIA DE SAO JOAO";14;21;16;21;27;17;32;30;53;40;59;50;104;484
"33010 LAGOS";84;99;87;105;119;165;169;183;213;238;274;256;506;2498
"33011 VALE DO PARAIBA FLUMINENSE";120;100;89;123;185;263;282;304;316;392;481;487;773;3915
"33012 BARRA DO PIRAI";24;19;29;34;67;80;77;96;119;120;149;160;311;1285
"33013 BAIA DA ILHA GRANDE";37;30;31;35;41;52;43;64;68;59;74;75;128;737
"33014 VASSOURAS";25;22;34;34;66;77;79;80;97;112;141;155;287;1209
"33015 SERRANA";52;68;85;121;129;196;229;248;311;342;445;433;800;3459
"33016 MACACU-CACERIBU";15;20;28;28;29;34;56;49;60;65;73;79;141;677
"33017 ITAGUAI";50;44;42;50;73;61;83;94;101;87;105;128;191;1109
"33018 RIO DE JANEIRO";2590;2243;2113;2440;3271;4507;5196;5789;6649;8325;9475;9487;18190;80275
"Total";3273;2923;2841;3374;4504;5963;6883;7628;8827;10726;12426;12475;24006;105849
