"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19"
"" "33001 ITAPERUNA" "33002 SANTO ANTONIO DE PADUA" "33003 CAMPOS DOS GOYTACAZES" "33004 MACAE" "33005 TRES RIOS" "33006 CANTAGALO-CORDEIRO" "33007 NOVA FRIBURGO" "33008 SANTA MARIA MADALENA" "33009 BACIA DE SAO JOAO" "33010 LAGOS" "33011 VALE DO PARAIBA FLUMINENSE" "33012 BARRA DO PIRAI" "33013 BAIA DA ILHA GRANDE" "33014 VASSOURAS" "33015 SERRANA" "33016 MACACU-CACERIBU" "33017 ITAGUAI" "33018 RIO DE JANEIRO" "Total"
"V2" "-4.7413684738296" "-4.53662364345298" "-4.14581389745158" "-4.89169774609305" "-4.5240505097031" "-4.44617445449763" "-4.52493928856496" "-4.84418708645859" "-4.99749376567308" "-4.68992703932111" "-4.6119250978918" "-4.71423810643424" "-4.53783099867625" "-4.69134788222914" "-4.4809018806427" "-4.35670882668959" "-4.53861336929902" "-4.47091596375416" "-4.49392883006634"
"V3" "-8.14458242017902" "-8.02273292173651" "-7.73187589588416" "-7.6110507905939" "-9.11305824916963" "-8.16479480424477" "-8.26393401619741" NA "-7.75448154747038" "-8.11214617771261" "-8.20639260017148" "-7.76715814864924" "-8.01961279440027" "-8.98956900480703" "-8.34395029855549" "-8.070124533453" "-7.84391399549376" "-7.79831786228356" "-7.8600883242207"
"V4" "-7.63884029888247" "-8.49228555571005" "-8.27962796403104" "-9.37239544390867" "-8.38379893224564" "-9.03515330408283" "-9.15154532546568" NA "-8.74388244927694" "-8.33920224398273" "-8.9947365074721" "-8.93177219705637" "-8.14261609884147" "-8.26714082354481" "-8.2457452954032" "-8.93583773463652" "-8.39231000926955" "-8.58400513162198" "-8.55317456593965"
"V5" "-6.51144810865874" "-6.22736509055517" "-6.3731424767524" "-6.13178424079822" "-6.72911582381298" "-7.12883956861452" "-6.55519882652937" "-6.80572255341699" "-6.14774575253361" "-6.37070263818104" "-6.30704976981563" "-6.57459754332875" "-6.4221724603878" "-6.59394310291131" "-6.93328176084469" "-6.35790202686907" "-6.45992929446944" "-6.36812305169019" "-6.38333693209636"
"V6" "-6.52068658115212" "-6.1947914169732" "-6.29025405777396" "-6.33524544445579" "-6.42721634782102" "-6.95929298794246" "-6.58349389974889" "-6.17702160476009" "-6.33427824126013" "-6.32638455924369" "-6.40864645888337" "-6.39922331905327" "-6.22367795376173" "-6.20242706712003" "-6.49529159997748" "-6.42156806579561" "-6.07440728424669" "-6.21881427082038" "-6.25495513126219"
"V7" "-5.58859222865995" "-5.76407470491232" "-5.71306836745415" "-6.08176218508876" "-5.68726826175439" "-5.78628369616794" "-5.90228159703767" "-5.60396213937399" "-6.00288262848966" "-5.94769666914782" "-5.78971122447279" "-5.87626042004846" "-6.07783742242646" "-5.91373137697105" "-5.82788890975845" "-5.84687493251748" "-5.49477052791038" "-5.77807233630686" "-5.79084603347965"
"V8" "-5.12396397940326" "-5.15928065132816" "-4.99737196617231" "-5.19643977470579" "-4.79155855366024" "-5.12693574979242" "-5.12928640752564" "-5.20720668980747" "-5.32259766467407" "-5.11832326989416" "-5.13559055845062" "-5.0594869003105" "-5.32762231335888" "-5.10015094019224" "-5.14485610419035" "-4.9074762102576" "-4.89055310578493" "-5.04556143500198" "-5.05990634310304"
"V9" "-4.36282837016826" "-4.50883154453745" "-4.21600823781299" "-4.34527007460117" "-4.27068869379236" "-4.57334375437641" "-4.41242451320026" "-4.74229360440507" "-4.4236671917182" "-4.32822088830502" "-4.32553142413004" "-4.36550290684314" "-4.36844801902262" "-4.23691931835637" "-4.36090211864347" "-4.46658402270194" "-4.11807588513147" "-4.2135322074686" "-4.24472129023874"
"V10" "-3.68071367457977" "-3.62837459864439" "-3.46996144406573" "-3.51480504590806" "-3.42411751554162" "-3.63665254001521" "-3.74721588320561" "-3.8607297110406" "-3.45072128887102" "-3.57637864688019" "-3.55313021927918" "-3.70412174056329" "-3.57919025045217" "-3.55646351057328" "-3.55709229796853" "-3.55031449381458" "-3.34278526232125" "-3.45281537759791" "-3.47963692326334"
"V11" "-2.53066127123891" "-2.55514535736492" "-2.41960155138023" "-2.45996038184142" "-2.55251887767582" "-2.63164073196021" "-2.5633813153258" "-2.64471025591805" "-2.29284392393849" "-2.49381347493942" "-2.53976127267376" "-2.63706569382448" "-2.49314468264734" "-2.46091995680891" "-2.50734560388734" "-2.49324407084209" "-2.37576891408853" "-2.4517543697168" "-2.46387173108759"
