"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";9;21;9;23;29;38;46;45;61;66;101;100;145;693
"35002 FERNANDOPOLIS";9;13;20;13;13;23;37;31;55;47;58;68;104;491
"35003 VOTUPORANGA";12;14;20;19;15;20;35;54;54;78;83;73;129;606
"35004 SAO JOSE DO RIO PRETO";120;122;113;118;171;191;245;290;386;393;440;457;799;3845
"35005 CATANDUVA";21;33;26;47;37;48;72;84;110;117;173;141;252;1161
"35006 AURIFLAMA";3;4;4;4;8;7;8;15;11;14;16;25;30;149
"35007 NHANDEARA";4;6;7;5;12;18;20;17;16;19;44;49;81;298
"35008 NOVO HORIZONTE";-;6;7;2;11;9;12;24;24;33;32;31;92;283
"35009 BARRETOS";19;34;32;27;56;61;70;80;108;113;110;105;178;993
"35010 SAO JOAQUIM DA BARRA";20;14;18;26;28;31;58;48;59;74;94;99;157;726
"35011 ITUVERAVA";12;12;15;15;14;19;33;30;34;37;52;42;70;385
"35012 FRANCA";39;52;47;65;62;71;98;126;140;142;171;178;309;1500
"35013 JABOTICABAL";34;34;35;52;51;62;85;95;138;150;207;216;422;1581
"35014 RIBEIRAO PRETO";154;175;169;207;207;236;319;390;463;485;512;499;792;4608
"35015 BATATAIS";3;4;4;9;6;11;21;23;44;35;49;45;112;366
"35016 ANDRADINA";18;14;30;23;34;35;51;56;84;102;105;95;200;847
"35017 ARACATUBA";41;27;36;60;56;56;82;122;94;144;154;174;263;1309
"35018 BIRIGUI";12;19;20;17;25;25;47;60;79;102;117;118;210;851
"35019 LINS";12;17;25;37;35;39;54;73;81;91;105;114;172;855
"35020 BAURU";55;46;68;87;97;134;168;198;254;248;299;313;512;2479
"35021 JAU";30;33;48;64;62;83;99;140;174;192;212;206;392;1735
"35022 AVARE";12;27;19;26;38;24;41;64;57;71;102;83;156;720
"35023 BOTUCATU";26;26;52;41;48;63;77;95;133;124;134;133;244;1196
"35024 ARARAQUARA";50;52;58;64;93;100;120;137;169;231;241;258;474;2047
"35025 SAO CARLOS";14;25;26;48;44;56;76;114;115;125;151;135;280;1209
"35026 RIO CLARO";27;39;29;31;52;38;55;72;90;122;128;161;269;1113
"35027 LIMEIRA";59;56;86;95;78;107;113;174;191;243;235;259;374;2070
"35028 PIRACICABA";76;47;80;83;101;108;140;181;205;225;271;283;491;2291
"35029 PIRASSUNUNGA";16;19;22;16;23;37;29;49;62;90;102;89;150;704
"35030 SAO JOAO DA BOA VISTA";31;39;51;60;85;80;126;149;214;230;254;294;477;2090
"35031 MOJI MIRIM";38;43;47;49;53;68;69;88;132;147;156;159;336;1385
"35032 CAMPINAS";318;330;344;397;457;530;599;748;885;936;990;987;1590;9111
"35033 AMPARO";15;14;13;15;29;39;45;51;78;73;108;133;229;842
"35034 DRACENA";10;15;13;10;11;26;38;46;53;60;73;70;142;567
"35035 ADAMANTINA";12;20;16;13;20;26;43;57;65;84;108;127;219;810
"35036 PRESIDENTE PRUDENTE";76;79;83;88;106;119;160;173;268;289;288;326;509;2564
"35037 TUPA";11;11;14;24;22;30;30;51;67;62;76;84;163;645
"35038 MARILIA";32;45;66;80;104;99;130;171;236;210;229;215;359;1976
"35039 ASSIS";40;38;47;41;55;58;67;78;97;134;139;147;277;1218
"35040 OURINHOS";29;31;39;49;51;79;101;109;159;181;195;200;337;1560
"35041 ITAPEVA";28;32;37;37;44;52;76;93;132;145;154;164;215;1209
"35042 ITAPETININGA";15;21;36;37;41;36;38;58;68;95;105;112;170;832
"35043 TATUI";12;36;15;24;25;37;53;49;78;100;99;83;201;812
"35044 CAPAO BONITO";10;16;13;23;18;22;48;47;41;71;71;69;103;552
"35045 PIEDADE";17;14;29;30;26;32;40;51;53;72;77;82;104;627
"35046 SOROCABA";183;188;219;206;255;300;357;465;536;572;584;577;852;5294
"35047 JUNDIAI";77;74;88;108;127;141;173;219;240;246;303;294;439;2529
"35048 BRAGANCA PAULISTA";58;64;71;77;88;119;139;159;188;229;269;276;419;2156
"35049 CAMPOS DO JORDAO";10;15;16;14;13;26;25;33;44;40;47;40;58;381
"35050 SAO JOSE DOS CAMPOS";181;174;227;262;239;249;337;379;449;527;595;536;816;4971
"35051 GUARATINGUETA";65;69;72;84;114;101;115;173;210;222;253;251;428;2157
"35052 BANANAL";1;3;5;2;2;2;6;4;11;7;14;16;14;87
"35053 PARAIBUNA/PARAITINGA";12;15;10;9;7;10;11;21;25;28;48;39;64;299
"35054 CARAGUATATUBA";46;52;55;49;37;45;39;51;59;64;68;75;112;752
"35055 REGISTRO";48;46;62;52;61;65;90;83;99;96;103;125;195;1125
"35056 ITANHAEM";36;34;23;36;32;35;32;38;38;41;34;41;66;486
"35057 OSASCO";277;271;252;244;236;247;272;296;291;310;269;281;395;3641
"35058 FRANCO DA ROCHA";52;59;67;78;77;66;90;86;102;94;84;106;129;1090
"35059 GUARULHOS";196;202;223;206;227;209;274;269;342;326;341;320;443;3578
"35060 ITAPECERICA DA SERRA";110;107;117;119;144;160;204;206;236;229;289;256;471;2648
"35061 SAO PAULO";3170;3284;3569;3560;3729;4025;4749;5311;6570;6832;6734;6569;11352;69454
