"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";8;9;12;17;19;34;50;73;62;98;148;146;371;1047
"35002 FERNANDOPOLIS";8;8;18;10;22;20;35;40;62;80;99;97;229;728
"35003 VOTUPORANGA";20;13;25;20;40;36;64;58;72;105;139;128;332;1052
"35004 SAO JOSE DO RIO PRETO";91;94;98;136;170;248;303;386;444;526;695;808;1838;5837
"35005 CATANDUVA";24;33;43;42;78;78;104;119;144;154;227;277;597;1920
"35006 AURIFLAMA";2;3;5;6;5;5;10;10;17;15;17;23;59;177
"35007 NHANDEARA";5;4;4;7;10;8;9;21;19;23;41;46;130;327
"35008 NOVO HORIZONTE";2;1;11;7;3;18;13;12;31;31;40;50;125;344
"35009 BARRETOS";30;30;48;59;101;159;210;250;268;253;245;224;361;2238
"35010 SAO JOAQUIM DA BARRA";18;23;26;21;42;42;58;66;83;99;111;148;304;1041
"35011 ITUVERAVA";5;4;19;13;17;36;32;35;38;45;77;64;200;585
"35012 FRANCA";33;38;37;50;68;143;151;181;200;207;278;280;638;2304
"35013 JABOTICABAL";26;25;39;73;61;96;125;155;158;218;252;303;800;2331
"35014 RIBEIRAO PRETO";88;115;165;187;222;310;391;525;589;648;757;858;1994;6849
"35015 BATATAIS";7;8;11;19;17;22;37;39;51;56;69;93;253;682
"35016 ANDRADINA";14;20;27;28;25;57;59;76;96;98;128;137;386;1151
"35017 ARACATUBA";42;50;38;59;92;105;140;146;175;228;260;292;641;2268
"35018 BIRIGUI";21;12;29;31;26;70;73;93;98;106;141;199;438;1337
"35019 LINS";20;16;28;24;34;58;54;79;79;94;135;176;360;1157
"35020 BAURU";47;64;81;81;127;178;218;281;321;318;430;493;1223;3862
"35021 JAU";46;60;69;79;94;149;186;235;291;270;294;350;777;2900
"35022 AVARE";16;15;27;31;34;64;66;81;96;117;117;135;319;1118
"35023 BOTUCATU";22;23;41;44;60;104;95;157;161;188;203;216;520;1834
"35024 ARARAQUARA";46;45;54;79;120;130;194;219;281;301;381;396;1076;3322
"35025 SAO CARLOS";25;34;43;47;66;89;117;132;124;162;186;225;651;1901
"35026 RIO CLARO";25;31;41;37;50;77;84;98;122;135;168;185;516;1569
"35027 LIMEIRA";58;65;71;96;141;191;231;265;313;315;384;411;1010;3551
"35028 PIRACICABA";70;53;78;81;106;165;197;258;297;363;395;463;1139;3665
"35029 PIRASSUNUNGA";15;24;22;20;36;56;64;68;80;91;102;139;355;1072
"35030 SAO JOAO DA BOA VISTA";20;34;44;64;70;138;170;204;235;321;384;372;1022;3078
"35031 MOJI MIRIM";36;48;51;57;93;108;155;182;190;221;287;295;624;2347
"35032 CAMPINAS";244;296;337;402;544;749;932;1069;1226;1357;1671;1717;4467;15011
"35033 AMPARO";20;15;18;17;31;46;58;71;76;93;130;150;443;1168
"35034 DRACENA";16;17;15;23;29;42;42;53;59;75;107;120;302;900
"35035 ADAMANTINA";11;8;11;14;29;34;60;63;55;70;112;156;352;975
"35036 PRESIDENTE PRUDENTE";54;67;74;109;164;170;234;259;299;379;489;534;1216;4048
"35037 TUPA";10;11;7;13;19;43;39;52;62;90;95;104;271;816
"35038 MARILIA";31;38;43;58;69;110;129;169;207;219;266;323;809;2471
"35039 ASSIS";17;26;36;38;55;77;105;117;125;158;182;258;587;1781
"35040 OURINHOS";26;23;35;40;67;86;108;143;151;191;233;253;604;1960
"35041 ITAPEVA";11;27;30;44;46;62;104;103;124;146;185;179;399;1460
"35042 ITAPETININGA";18;24;19;32;34;50;77;82;88;116;150;150;357;1197
"35043 TATUI";24;23;23;34;40;51;67;89;95;109;147;132;380;1214
"35044 CAPAO BONITO";15;8;12;12;12;33;49;48;60;65;90;78;176;658
"35045 PIEDADE";16;19;20;27;30;36;70;51;73;99;79;87;204;811
"35046 SOROCABA";165;147;182;222;290;445;573;626;743;758;909;976;2200;8236
"35047 JUNDIAI";56;85;80;89;124;182;271;282;268;329;401;442;1102;3711
"35048 BRAGANCA PAULISTA";55;69;77;67;92;149;183;227;271;274;326;437;997;3224
"35049 CAMPOS DO JORDAO";6;15;11;21;27;36;31;50;41;41;70;56;113;518
"35050 SAO JOSE DOS CAMPOS";163;154;177;223;320;445;548;677;733;766;826;904;2172;8108
"35051 GUARATINGUETA";46;48;52;93;99;118;192;225;268;256;321;308;739;2765
"35052 BANANAL";2;1;2;4;2;6;3;7;9;15;12;11;39;113
"35053 PARAIBUNA/PARAITINGA";9;12;11;12;17;23;18;14;17;35;34;46;88;336
"35054 CARAGUATATUBA";45;51;35;59;64;80;105;108;124;121;142;147;338;1419
"35055 REGISTRO";31;37;47;58;63;85;115;123;140;181;217;200;421;1718
"35056 ITANHAEM";29;36;35;44;59;69;95;100;118;162;135;128;339;1349
"35057 OSASCO";181;223;227;251;350;418;539;640;640;660;743;716;1572;7160
"35058 FRANCO DA ROCHA";44;55;45;61;92;114;173;176;174;196;195;197;392;1914
"35059 GUARULHOS";117;169;180;238;280;350;435;517;584;573;633;641;1338;6055
"35060 ITAPECERICA DA SERRA";114;125;135;150;197;263;351;423;435;481;422;443;953;4492
"35061 SAO PAULO";1438;1596;1812;2213;2988;4196;5682;6706;7479;7745;9050;9947;25163;86015
"35062 MOGI DAS CRUZES";126;149;155;202;278;387;455;574;588;610;671;638;1445;6278
"35063 SANTOS";182;238;232;313;385;517;720;864;994;1110;1204;1402;2989;11150
"Total";4212;4814;5480;6708;8945;12466;16258;19252;21523;23366;27437;29909;72255;252625
