"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";15;7;13;23;29;32;42;60;87;92;96;106;189;791
"35002 FERNANDOPOLIS";5;8;10;22;28;22;26;46;49;73;85;59;127;560
"35003 VOTUPORANGA";10;25;15;24;26;51;50;47;72;91;90;87;184;772
"35004 SAO JOSE DO RIO PRETO";76;125;139;155;173;171;238;261;331;411;435;409;832;3756
"35005 CATANDUVA";21;33;35;50;58;47;57;82;104;140;160;149;347;1283
"35006 AURIFLAMA";5;3;4;3;12;18;10;22;28;30;27;31;60;253
"35007 NHANDEARA";6;8;5;8;10;17;17;33;28;50;54;37;102;375
"35008 NOVO HORIZONTE";10;7;12;11;17;26;24;32;39;65;41;56;123;463
"35009 BARRETOS";9;22;30;42;43;38;47;62;87;103;115;94;204;896
"35010 SAO JOAQUIM DA BARRA";25;29;29;39;49;57;62;67;92;113;150;120;209;1041
"35011 ITUVERAVA";7;12;13;26;30;28;41;51;49;73;54;65;128;577
"35012 FRANCA";51;60;70;77;83;110;108;145;178;189;197;157;391;1816
"35013 JABOTICABAL";50;85;93;86;100;109;141;151;177;228;259;275;478;2232
"35014 RIBEIRAO PRETO";172;189;233;226;246;230;269;345;447;506;506;492;1039;4900
"35015 BATATAIS";6;15;18;25;20;20;51;53;56;62;70;67;129;592
"35016 ANDRADINA";16;28;38;37;46;47;69;84;80;91;115;109;261;1021
"35017 ARACATUBA";31;48;63;68;66;65;54;99;111;134;156;153;307;1355
"35018 BIRIGUI";33;29;38;40;45;53;75;93;118;113;143;153;331;1264
"35019 LINS";14;12;28;32;36;52;47;60;80;112;111;118;211;913
"35020 BAURU";46;87;121;115;130;130;160;226;269;334;365;364;665;3012
"35021 JAU";39;47;59;69;72;98;95;121;162;225;230;203;464;1884
"35022 AVARE";18;17;25;39;35;58;54;78;83;117;109;111;205;949
"35023 BOTUCATU";26;28;30;39;45;46;54;78;110;107;119;143;289;1114
"35024 ARARAQUARA";61;74;77;107;139;115;132;166;245;278;307;277;608;2586
"35025 SAO CARLOS";39;53;56;74;69;86;89;111;116;175;188;185;393;1634
"35026 RIO CLARO";25;35;58;61;45;65;80;79;127;143;168;179;331;1396
"35027 LIMEIRA";63;78;100;114;150;160;183;206;274;312;299;315;566;2820
"35028 PIRACICABA";68;87;99;116;138;148;155;183;231;293;332;340;624;2814
"35029 PIRASSUNUNGA";30;32;41;40;30;51;62;80;88;107;122;118;216;1017
"35030 SAO JOAO DA BOA VISTA";44;57;68;92;113;127;115;173;236;299;280;292;620;2516
"35031 MOJI MIRIM";49;64;67;90;85;98;99;132;136;186;211;216;373;1806
"35032 CAMPINAS";351;394;442;535;526;613;658;742;931;1184;1162;1072;2034;10644
"35033 AMPARO";24;21;28;25;43;46;34;64;90;133;125;150;282;1065
"35034 DRACENA";8;9;13;19;15;33;31;48;57;91;77;73;166;640
"35035 ADAMANTINA";14;10;25;21;36;36;61;64;76;94;126;134;257;954
