"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";7;12;15;12;35;33;50;55;68;91;115;142;322;957
"35002 FERNANDOPOLIS";7;6;7;21;22;36;37;37;58;67;85;105;193;681
"35003 VOTUPORANGA";12;10;17;26;37;38;38;57;77;96;114;138;317;977
"35004 SAO JOSE DO RIO PRETO";83;88;96;124;173;256;292;383;403;520;649;702;1515;5284
"35005 CATANDUVA";25;22;34;43;65;91;94;129;125;178;209;237;524;1776
"35006 AURIFLAMA";6;5;2;2;5;5;5;11;6;14;21;24;65;171
"35007 NHANDEARA";8;6;6;4;6;7;12;13;18;21;33;45;116;295
"35008 NOVO HORIZONTE";5;8;7;3;8;13;14;15;26;43;50;45;117;354
"35009 BARRETOS";33;48;44;80;113;154;187;242;276;239;237;244;335;2232
"35010 SAO JOAQUIM DA BARRA";28;33;30;17;30;39;53;69;67;89;105;117;265;942
"35011 ITUVERAVA";7;15;13;16;32;25;49;37;43;46;78;84;173;618
"35012 FRANCA";38;30;49;58;84;104;115;162;184;215;254;234;576;2103
"35013 JABOTICABAL";23;37;38;56;51;83;114;148;162;183;239;293;715;2142
"35014 RIBEIRAO PRETO";81;94;108;176;240;343;430;453;531;591;676;726;1721;6170
"35015 BATATAIS";2;9;9;7;20;22;28;43;41;58;66;76;209;590
"35016 ANDRADINA";22;17;25;22;43;45;69;56;89;93;102;160;360;1103
"35017 ARACATUBA";32;29;32;54;76;91;137;131;187;199;244;276;481;1969
"35018 BIRIGUI";24;18;19;37;37;71;61;82;75;109;139;186;403;1261
"35019 LINS";19;17;21;27;54;52;82;73;81;89;116;116;316;1063
"35020 BAURU";54;61;91;86;134;149;254;251;302;305;404;456;1021;3568
"35021 JAU";40;43;57;79;86;159;192;233;232;254;333;315;649;2672
"35022 AVARE";16;20;31;28;42;55;63;72;102;96;123;142;278;1068
"35023 BOTUCATU";28;21;40;46;57;80;109;120;143;146;186;216;422;1614
"35024 ARARAQUARA";40;55;42;90;124;163;188;225;221;277;339;361;920;3045
"35025 SAO CARLOS";24;33;39;47;62;89;104;106;141;152;176;201;564;1738
"35026 RIO CLARO";26;26;29;43;42;75;88;92;103;135;172;183;521;1535
"35027 LIMEIRA";50;64;73;118;152;167;201;255;290;293;337;392;860;3252
"35028 PIRACICABA";58;66;78;83;148;162;223;251;280;310;377;425;1022;3483
"35029 PIRASSUNUNGA";16;19;19;25;29;42;70;70;74;77;99;137;301;978
"35030 SAO JOAO DA BOA VISTA";32;39;55;48;84;137;141;184;205;262;357;382;848;2774
"35031 MOJI MIRIM";24;32;45;66;81;112;142;146;174;198;253;293;547;2113
"35032 CAMPINAS";253;305;319;417;528;695;947;1045;1112;1304;1503;1692;3675;13795
"35033 AMPARO";15;15;17;30;36;50;51;74;94;90;111;145;339;1067
"35034 DRACENA";12;12;16;23;32;41;48;46;53;77;85;121;248;814
"35035 ADAMANTINA";13;22;15;21;25;45;49;50;62;78;129;149;324;982
"35036 PRESIDENTE PRUDENTE";55;77;71;91;144;161;233;232;329;394;426;470;1109;3792
"35037 TUPA";8;14;13;23;21;48;26;52;69;80;89;113;272;828
"35038 MARILIA";27;22;51;51;84;104;132;177;191;219;281;300;769;2408
"35039 ASSIS";20;20;35;31;45;89;78;130;142;171;159;233;439;1592
"35040 OURINHOS";17;32;39;42;65;86;112;125;139;172;219;288;529;1865
"35041 ITAPEVA";24;29;15;52;64;72;84;97;139;154;170;177;340;1417
"35042 ITAPETININGA";24;9;33;32;35;63;76;69;95;108;114;118;291;1067
"35043 TATUI";21;24;34;38;35;55;80;71;96;121;131;148;384;1238
"35044 CAPAO BONITO";2;7;14;17;18;18;27;43;50;57;71;72;163;559
"35045 PIEDADE";21;15;23;26;43;42;50;68;71;89;103;109;196;856
"35046 SOROCABA";140;164;217;241;349;443;521;638;688;767;912;988;1915;7983
"35047 JUNDIAI";69;77;78;80;147;171;213;292;283;346;375;404;995;3530
"35048 BRAGANCA PAULISTA";68;63;59;94;121;154;169;225;219;284;323;366;944;3089
"35049 CAMPOS DO JORDAO";6;10;9;25;30;27;39;34;41;52;36;45;96;450
"35050 SAO JOSE DOS CAMPOS";147;151;192;232;305;409;557;588;664;711;761;839;1801;7357
"35051 GUARATINGUETA";35;45;66;86;111;140;209;192;229;298;303;318;675;2707
"35052 BANANAL";1;2;3;-;2;7;4;3;6;14;16;15;33;106
"35053 PARAIBUNA/PARAITINGA";2;6;9;12;12;13;18;20;11;38;27;29;58;255
"35054 CARAGUATATUBA";40;45;49;52;61;82;87;98;102;112;103;120;260;1211
"35055 REGISTRO";38;43;30;43;67;78;107;120;118;167;178;182;384;1555
"35056 ITANHAEM";38;34;41;35;50;69;100;85;125;125;126;124;282;1234
"35057 OSASCO";213;181;210;258;375;438;542;562;643;645;649;676;1329;6721
"35058 FRANCO DA ROCHA";58;42;64;77;96;105;155;166;198;172;178;158;339;1808
"35059 GUARULHOS";199;177;188;235;289;369;453;462;542;527;612;620;1190;5863
"35060 ITAPECERICA DA SERRA";124;111;107;130;199;286;300;320;362;347;384;346;754;3770
"35061 SAO PAULO";1462;1638;1798;2306;3235;4250;5604;6366;6804;7655;8593;9615;22430;81756
"35062 MOGI DAS CRUZES";138;135;155;200;310;399;473;530;569;655;647;617;1258;6086
"35063 SANTOS";188;222;207;307;417;551;655;731;862;998;1090;1219;2518;9965
"Total";4348;4732;5348;6851;9523;12458;15841;17912;19892;22473;25592;28269;63015;236254
