"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";12;13;20;24;32;31;33;58;62;108;96;106;214;809
"35002 FERNANDOPOLIS";7;17;7;23;29;26;32;47;58;72;83;76;120;597
"35003 VOTUPORANGA";8;9;23;18;21;31;28;71;64;64;87;99;160;683
"35004 SAO JOSE DO RIO PRETO";116;169;176;187;176;228;242;356;408;446;469;498;861;4332
"35005 CATANDUVA";30;38;44;57;61;48;62;87;107;139;153;154;290;1270
"35006 AURIFLAMA";5;3;5;5;3;7;12;7;12;20;22;22;44;167
"35007 NHANDEARA";3;1;2;3;6;5;13;19;26;21;29;30;83;241
"35008 NOVO HORIZONTE";9;3;4;8;10;8;18;15;30;25;50;45;99;324
"35009 BARRETOS";30;33;30;42;53;56;78;86;106;114;135;116;192;1071
"35010 SAO JOAQUIM DA BARRA";17;31;20;27;30;38;50;68;90;85;89;97;149;791
"35011 ITUVERAVA";6;6;14;21;17;9;31;46;41;50;49;47;108;445
"35012 FRANCA";40;54;70;81;73;75;118;137;155;165;176;194;291;1629
"35013 JABOTICABAL";43;63;69;72;59;100;105;119;154;193;224;227;508;1936
"35014 RIBEIRAO PRETO";198;225;229;283;296;281;336;386;500;543;554;515;974;5320
"35015 BATATAIS";11;8;4;10;18;10;28;32;44;62;54;55;115;451
"35016 ANDRADINA";22;19;32;30;32;42;50;57;65;90;104;130;218;891
"35017 ARACATUBA";27;42;64;69;60;69;107;122;127;143;171;174;315;1490
"35018 BIRIGUI";18;19;13;32;40;36;56;75;89;113;130;117;231;969
"35019 LINS";18;25;37;30;33;45;51;57;84;105;119;131;200;935
"35020 BAURU";64;89;110;106;120;135;153;232;273;288;310;317;602;2799
"35021 JAU";39;61;75;65;87;103;118;148;182;219;256;225;441;2019
"35022 AVARE";20;26;29;38;34;41;59;76;74;80;90;109;173;849
"35023 BOTUCATU";27;27;46;60;72;78;69;87;100;139;167;148;285;1305
"35024 ARARAQUARA";55;68;95;86;105;115;132;165;236;278;276;285;612;2508
"35025 SAO CARLOS";27;26;40;48;61;77;82;98;124;158;156;198;363;1458
"35026 RIO CLARO";36;37;52;47;48;60;66;56;98;131;142;149;272;1194
"35027 LIMEIRA";71;81;83;74;135;130;137;194;213;268;275;284;489;2434
"35028 PIRACICABA";89;77;103;95;119;142;164;199;273;293;310;310;583;2757
"35029 PIRASSUNUNGA";23;18;29;36;25;46;41;44;64;83;96;104;162;771
"35030 SAO JOAO DA BOA VISTA";35;37;58;73;95;96;132;177;230;290;315;297;567;2402
"35031 MOJI MIRIM";35;57;60;66;80;82;108;119;158;168;173;216;344;1666
"35032 CAMPINAS";363;410;437;529;523;573;617;797;956;1110;1124;1019;2018;10476
"35033 AMPARO";13;10;17;15;36;32;45;54;75;95;105;121;251;869
"35034 DRACENA";8;7;12;18;16;22;38;57;52;71;78;72;171;622
"35035 ADAMANTINA";16;21;20;25;22;39;38;60;82;115;115;125;235;913
"35036 PRESIDENTE PRUDENTE";84;95;97;95;117;133;173;223;256;312;300;346;566;2797
"35037 TUPA";11;15;23;24;20;33;52;39;66;76;81;74;143;657
"35038 MARILIA";51;64;49;75;99;110;121;164;197;238;240;230;431;2069
"35039 ASSIS";21;37;35;40;53;58;81;117;98;148;161;139;309;1297
"35040 OURINHOS";32;49;53;52;74;66;94;143;140;164;209;206;346;1628
"35041 ITAPEVA";34;33;44;46;48;54;73;103;146;141;177;133;247;1279
"35042 ITAPETININGA";21;29;43;32;32;47;48;74;92;99;113;118;206;954
"35043 TATUI";22;17;26;43;43;37;58;73;89;118;107;113;247;993
"35044 CAPAO BONITO";22;16;14;19;26;32;35;46;63;76;94;79;115;637
"35045 PIEDADE";18;22;26;21;27;45;35;45;68;94;81;81;136;699
"35046 SOROCABA";188;235;227;273;285;348;385;449;558;650;695;629;1059;5981
