"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";8;10;14;14;19;24;27;50;50;62;87;80;133;578
"35002 FERNANDOPOLIS";11;9;7;16;22;22;27;30;28;41;53;55;81;402
"35003 VOTUPORANGA";10;9;11;13;21;25;28;48;30;50;50;68;96;459
"35004 SAO JOSE DO RIO PRETO";70;62;106;101;118;185;221;248;252;321;337;358;481;2860
"35005 CATANDUVA";24;22;23;31;27;38;61;79;84;128;116;125;191;949
"35006 AURIFLAMA";4;4;2;6;8;9;8;13;14;16;23;17;30;154
"35007 NHANDEARA";1;2;7;13;6;11;8;12;8;22;28;40;50;208
"35008 NOVO HORIZONTE";3;1;4;4;4;8;16;22;30;30;37;30;41;230
"35009 BARRETOS";15;19;20;28;26;29;68;71;75;71;99;84;115;720
"35010 SAO JOAQUIM DA BARRA";15;17;13;19;31;25;42;56;54;59;63;83;98;575
"35011 ITUVERAVA";6;12;15;13;18;19;36;34;29;41;52;59;76;410
"35012 FRANCA";23;28;27;38;55;86;85;93;86;89;104;111;171;996
"35013 JABOTICABAL";22;36;55;61;51;68;82;103;119;144;194;192;311;1438
"35014 RIBEIRAO PRETO";110;134;165;163;215;215;297;323;340;382;431;386;495;3656
"35015 BATATAIS";5;1;13;14;8;16;21;32;39;41;48;57;90;385
"35016 ANDRADINA";9;11;20;33;36;44;43;59;78;83;91;86;121;714
"35017 ARACATUBA";17;36;29;36;50;55;67;68;97;109;137;109;192;1002
"35018 BIRIGUI";11;15;20;22;35;36;59;53;66;77;90;103;140;727
"35019 LINS";10;22;28;22;34;44;65;53;79;93;81;101;144;776
"35020 BAURU";47;61;56;74;90;114;138;174;200;229;230;236;370;2019
"35021 JAU";36;24;37;46;51;88;101;124;159;172;195;203;306;1542
