"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";10;8;18;17;31;31;32;42;51;60;73;79;111;563
"35002 FERNANDOPOLIS";7;11;11;11;17;23;32;34;33;52;46;64;82;423
"35003 VOTUPORANGA";8;9;14;17;21;32;34;36;48;53;68;75;119;534
"35004 SAO JOSE DO RIO PRETO";97;97;116;133;165;201;246;271;292;327;400;371;590;3306
"35005 CATANDUVA";19;21;30;30;26;53;68;75;91;101;131;127;192;964
"35006 AURIFLAMA";4;5;2;5;8;6;10;11;17;20;18;26;31;163
"35007 NHANDEARA";6;3;6;8;8;15;12;17;16;21;26;31;73;242
"35008 NOVO HORIZONTE";3;4;8;7;12;10;7;17;31;19;34;33;63;248
"35009 BARRETOS";16;25;35;33;46;49;67;74;82;89;94;89;121;820
"35010 SAO JOAQUIM DA BARRA";11;14;20;18;33;47;46;50;65;77;77;71;111;640
"35011 ITUVERAVA";10;8;7;21;10;23;32;35;37;43;51;57;63;397
"35012 FRANCA";21;26;29;37;69;85;93;107;122;129;141;136;210;1205
"35013 JABOTICABAL";27;44;46;52;61;68;89;103;123;154;182;172;318;1439
"35014 RIBEIRAO PRETO";121;144;177;202;208;261;323;363;381;408;453;430;662;4133
"35015 BATATAIS";6;6;11;13;10;24;19;25;30;34;42;49;95;364
"35016 ANDRADINA";28;24;24;26;34;49;63;43;74;86;93;97;137;778
"35017 ARACATUBA";35;35;39;43;43;57;85;78;101;115;130;126;185;1072
"35018 BIRIGUI";11;18;13;22;26;41;47;69;67;91;87;96;174;762
"35019 LINS";16;18;25;31;36;48;56;66;94;93;85;96;179;843
"35020 BAURU";61;45;67;93;74;132;180;167;176;265;264;252;406;2182
"35021 JAU";25;35;42;63;51;77;117;147;169;159;196;187;315;1583
"35022 AVARE";12;16;26;19;29;26;41;44;68;63;77;63;117;601
"35023 BOTUCATU";33;32;42;53;57;68;70;73;71;93;117;108;190;1007
"35024 ARARAQUARA";39;46;50;67;78;82;106;131;178;174;222;214;386;1773
"35025 SAO CARLOS";25;26;27;27;33;37;67;60;78;109;140;138;252;1019
"35026 RIO CLARO";22;33;26;26;33;41;66;71;94;91;109;120;214;946
"35027 LIMEIRA";52;64;62;59;81;117;123;151;204;196;237;176;353;1875
"35028 PIRACICABA";64;73;78;74;72;122;145;180;179;229;247;238;400;2101
"35029 PIRASSUNUNGA";10;13;14;23;22;35;31;60;58;75;84;78;121;624
"35030 SAO JOAO DA BOA VISTA";42;65;62;81;72;100;130;162;193;208;231;246;393;1985
"35031 MOJI MIRIM";40;39;48;53;49;59;73;120;107;108;167;166;211;1240
"35032 CAMPINAS";263;275;269;331;392;414;470;641;758;738;794;754;1162;7261
"35033 AMPARO";18;11;7;19;20;25;34;56;64;74;87;83;165;663
"35034 DRACENA";9;9;9;9;20;22;29;44;32;47;47;71;117;465
"35035 ADAMANTINA";15;13;15;19;20;31;45;54;75;76;92;103;149;707
"35036 PRESIDENTE PRUDENTE";67;91;68;97;103;154;142;167;213;235;272;244;393;2246
"35037 TUPA";9;9;8;18;20;27;33;39;46;54;61;63;128;515
"35038 MARILIA";53;46;61;68;80;101;129;153;164;202;216;200;282;1755
"35039 ASSIS";30;30;36;42;53;45;69;85;93;100;139;123;215;1060
"35040 OURINHOS";23;36;35;52;45;76;101;133;110;145;173;121;236;1286
"35041 ITAPEVA";20;16;26;33;53;67;56;83;95;112;128;112;190;991
"35042 ITAPETININGA";20;15;16;23;22;33;42;58;63;85;100;82;152;711
"35043 TATUI";18;17;19;19;27;36;45;53;65;83;90;99;147;718
"35044 CAPAO BONITO";18;13;20;21;24;18;37;44;37;71;74;58;71;506
"35045 PIEDADE";21;12;26;15;25;37;24;42;58;65;81;78;108;592
"35046 SOROCABA";158;153;178;203;212;302;345;394;490;481;515;534;691;4656
"35047 JUNDIAI";64;69;89;112;116;123;161;183;201;230;229;235;375;2187
"35048 BRAGANCA PAULISTA";39;62;66;64;93;99;125;139;151;184;208;211;328;1769
"35049 CAMPOS DO JORDAO";10;10;20;18;19;20;17;43;39;44;31;43;48;362
"35050 SAO JOSE DOS CAMPOS";150;175;176;205;207;223;265;307;419;432;465;436;663;4123
"35051 GUARATINGUETA";53;74;83;73;90;98;132;159;168;206;261;209;366;1972
"35052 BANANAL";3;3;2;5;4;5;4;8;11;10;9;10;32;106
"35053 PARAIBUNA/PARAITINGA";7;12;12;7;7;14;11;15;23;26;41;36;49;260
"35054 CARAGUATATUBA";41;31;39;36;39;36;27;50;58;36;58;52;83;586
