"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";25;19;14;14;27;27;46;42;96;107;132;115;259;923
"35002 FERNANDOPOLIS";8;12;10;15;23;32;34;44;56;61;92;72;184;643
"35003 VOTUPORANGA";13;12;13;11;26;27;41;52;59;82;103;88;205;732
"35004 SAO JOSE DO RIO PRETO";98;89;110;154;182;230;287;327;401;529;595;575;1118;4695
"35005 CATANDUVA";19;29;43;38;62;72;79;86;137;156;176;215;357;1469
"35006 AURIFLAMA";2;-;1;5;8;5;7;7;18;13;33;23;42;164
"35007 NHANDEARA";4;3;2;6;14;17;13;17;23;17;35;35;98;284
"35008 NOVO HORIZONTE";4;8;5;4;4;15;15;14;20;28;41;45;117;320
"35009 BARRETOS";32;21;37;54;72;77;98;114;142;162;166;124;258;1357
"35010 SAO JOAQUIM DA BARRA";22;17;26;29;37;60;62;53;83;96;117;116;216;934
"35011 ITUVERAVA";7;11;15;21;20;20;31;41;46;52;70;73;123;530
"35012 FRANCA";35;46;44;77;99;108;120;151;193;188;211;213;382;1867
"35013 JABOTICABAL";34;34;57;76;69;101;112;123;162;191;202;220;572;1953
"35014 RIBEIRAO PRETO";189;171;193;215;278;301;354;377;490;594;660;658;1247;5727
"35015 BATATAIS";9;5;12;16;19;28;17;38;29;49;50;62;154;488
"35016 ANDRADINA";13;21;28;26;49;42;50;58;85;91;118;107;297;985
"35017 ARACATUBA";21;31;51;49;88;82;112;116;137;180;211;206;387;1671
"35018 BIRIGUI";21;19;24;34;44;46;58;72;93;109;139;142;305;1106
"35019 LINS";17;8;33;37;54;38;60;59;93;114;126;111;250;1000
"35020 BAURU";69;78;122;111;127;167;183;224;285;331;395;405;703;3200
"35021 JAU";32;48;50;75;102;116;145;175;204;254;273;278;551;2303
"35022 AVARE";22;25;21;49;47;53;49;65;76;107;102;97;200;913
"35023 BOTUCATU";36;23;37;42;72;73;105;114;164;180;192;170;292;1500
"35024 ARARAQUARA";41;54;73;117;119;133;164;172;214;281;314;325;630;2637
"35025 SAO CARLOS";38;33;44;48;82;81;85;99;137;146;186;187;436;1602
"35026 RIO CLARO";26;29;27;55;52;81;79;74;86;129;163;185;392;1378
"35027 LIMEIRA";73;78;84;133;156;158;211;182;233;282;359;346;591;2886
"35028 PIRACICABA";78;79;86;118;133;141;175;199;280;278;334;342;657;2900
"35029 PIRASSUNUNGA";16;20;25;31;32;44;56;54;77;103;135;109;218;920
"35030 SAO JOAO DA BOA VISTA";36;47;70;66;112;161;165;189;265;358;417;384;857;3127
"35031 MOJI MIRIM";50;52;76;88;109;118;112;120;141;185;224;215;436;1926
"35032 CAMPINAS";465;428;415;501;616;649;719;781;960;1177;1368;1288;2533;11900
"35033 AMPARO";21;13;26;35;48;49;57;57;85;105;141;128;277;1042
"35034 DRACENA";3;8;17;18;22;28;36;45;58;72;110;60;181;658
"35035 ADAMANTINA";13;20;22;21;43;33;47;49;63;89;124;125;258;907
"35036 PRESIDENTE PRUDENTE";79;83;86;98;138;155;179;239;319;330;365;367;737;3175
"35037 TUPA";14;21;16;21;28;31;36;38;53;66;90;91;204;709
"35038 MARILIA";48;31;45;73;64;98;133;161;179;200;273;239;480;2024
"35039 ASSIS";22;25;37;52;52;75;68;86;151;142;181;186;395;1472
"35040 OURINHOS";27;23;41;63;70;99;107;135;144;183;224;220;422;1758
"35041 ITAPEVA";26;30;52;58;68;70;64;106;147;154;169;174;304;1422
"35042 ITAPETININGA";20;30;33;34;34;50;54;65;66;110;108;124;223;951
"35043 TATUI";20;25;23;50;57;65;68;70;92;112;161;160;290;1193
"35044 CAPAO BONITO";15;15;28;21;24;30;32;51;74;76;89;96;136;687
"35045 PIEDADE";14;21;27;34;33;43;54;56;71;83;115;100;177;828
"35046 SOROCABA";191;231;212;289;343;423;442;515;583;725;783;737;1289;6763
"35047 JUNDIAI";81;91;95;130;134;168;200;223;275;319;363;358;680;3117
"35048 BRAGANCA PAULISTA";55;74;62;97;123;147;179;161;241;292;341;347;642;2761
"35049 CAMPOS DO JORDAO";11;20;36;37;50;54;74;56;48;55;55;43;81;620
"35050 SAO JOSE DOS CAMPOS";250;234;283;312;340;377;421;459;563;609;725;711;1263;6547
"35051 GUARATINGUETA";57;62;83;121;122;142;207;183;245;256;317;303;516;2614
"35052 BANANAL";4;-;4;5;3;4;2;3;10;11;14;11;29;100
"35053 PARAIBUNA/PARAITINGA";7;7;15;18;9;17;21;15;24;40;31;34;67;305
"35054 CARAGUATATUBA";69;48;55;65;72;73;73;84;83;110;106;105;172;1115
"35055 REGISTRO";43;48;57;76;75;99;92;125;113;144;166;163;276;1477
"35056 ITANHAEM";55;44;54;50;52;88;79;83;84;97;110;82;167;1045
"35057 OSASCO";327;300;328;320;424;450;463;459;513;520;542;532;846;6024
"35058 FRANCO DA ROCHA";76;62;80;98;106;124;106;135;123;130;133;115;189;1477
"35059 GUARULHOS";317;318;285;295;342;370;357;382;437;443;450;455;757;5208
"35060 ITAPECERICA DA SERRA";223;180;193;198;210;244;252;257;279;282;321;295;497;3431
"35061 SAO PAULO";3200;3070;3024;3438;4015;4739;5178;5660;6773;7635;8797;8423;16155;80107
"35062 MOGI DAS CRUZES";202;220;225;255;313;328;371;380;429;500;507;451;793;4974
"35063 SANTOS";379;352;358;417;478;501;580;693;772;929;1026;991;1861;9337
"Total";7424;7256;7750;9114;10826;12477;13876;15270;18582;21449;24676;23757;45431;217888
