"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";7;13;11;18;30;35;33;59;71;82;96;101;266;822
"35002 FERNANDOPOLIS";8;7;13;16;20;29;24;34;61;52;85;79;175;603
"35003 VOTUPORANGA";9;12;14;16;28;19;36;42;74;78;87;90;199;704
"35004 SAO JOSE DO RIO PRETO";97;95;118;168;207;218;271;345;448;493;592;571;1155;4778
"35005 CATANDUVA";28;27;40;42;58;65;65;84;140;141;202;174;398;1464
"35006 AURIFLAMA";4;3;2;7;9;10;7;11;17;14;18;21;61;184
"35007 NHANDEARA";3;3;7;9;5;6;14;20;23;29;33;28;86;266
"35008 NOVO HORIZONTE";5;7;4;7;10;8;8;24;28;32;47;51;124;355
"35009 BARRETOS";28;32;29;45;64;95;121;116;134;155;166;116;244;1345
"35010 SAO JOAQUIM DA BARRA";16;20;21;25;37;49;60;79;83;86;135;120;204;935
"35011 ITUVERAVA";6;12;11;6;21;33;25;34;40;39;66;63;138;494
"35012 FRANCA";36;39;48;64;83;99;106;125;217;198;232;203;392;1842
"35013 JABOTICABAL";22;43;43;53;77;83;113;115;152;188;249;249;545;1932
"35014 RIBEIRAO PRETO";161;148;205;237;266;319;330;360;487;559;635;593;1177;5477
"35015 BATATAIS";10;8;8;18;8;23;29;34;44;46;58;53;132;471
"35016 ANDRADINA";18;23;25;28;39;64;49;52;91;117;122;128;252;1008
"35017 ARACATUBA";34;32;43;59;70;96;88;114;141;173;193;207;374;1624
"35018 BIRIGUI";28;20;30;36;45;55;47;63;84;92;121;154;335;1110
"35019 LINS";14;19;14;25;37;53;57;63;92;94;136;132;236;972
"35020 BAURU";55;72;83;104;145;180;192;201;296;357;415;381;792;3273
"35021 JAU";33;40;48;83;108;123;147;197;200;245;290;297;536;2347
"35022 AVARE";22;26;19;37;49;56;71;60;91;90;103;128;205;957
"35023 BOTUCATU";34;33;41;48;71;87;101;116;139;146;184;148;356;1504
"35024 ARARAQUARA";52;65;86;81;120;138;173;155;235;275;345;325;734;2784
"35025 SAO CARLOS";31;40;42;52;62;78;97;91;129;168;177;213;407;1587
"35026 RIO CLARO";40;32;42;43;56;68;70;99;105;132;181;173;431;1472
"35027 LIMEIRA";77;89;99;90;136;168;189;216;269;272;362;350;658;2975
"35028 PIRACICABA";50;89;83;112;118;177;188;228;277;316;361;352;731;3082
"35029 PIRASSUNUNGA";19;28;23;26;33;53;52;68;71;112;113;103;225;926
"35030 SAO JOAO DA BOA VISTA";31;38;62;66;119;116;136;190;236;280;316;350;642;2582
"35031 MOJI MIRIM";44;48;65;78;105;111;119;134;168;185;236;218;451;1962
"35032 CAMPINAS";404;416;454;512;590;744;776;791;999;1146;1365;1346;2494;12037
"35033 AMPARO";9;24;24;31;49;50;49;72;69;108;124;136;318;1063
"35034 DRACENA";7;7;16;10;27;23;48;34;56;74;101;115;197;715
"35035 ADAMANTINA";14;15;16;18;34;37;56;58;55;107;116;129;255;910
"35036 PRESIDENTE PRUDENTE";56;55;90;103;132;155;182;233;271;367;428;403;757;3232
"35037 TUPA";8;17;12;20;34;34;41;47;62;68;101;86;186;716
"35038 MARILIA";37;43;47;69;70;112;123;126;172;205;249;239;545;2037
"35039 ASSIS";26;27;31;39;66;58;89;94;120;138;192;203;383;1466
"35040 OURINHOS";26;39;49;61;81;86;106;109;185;172;222;229;418;1783
"35041 ITAPEVA";29;33;37;51;51;71;82;94;135;150;183;169;264;1349
"35042 ITAPETININGA";17;19;27;36;43;55;61;66;102;103;99;109;207;944
"35043 TATUI";26;23;25;36;45;63;104;50;89;96;150;147;292;1146
"35044 CAPAO BONITO";10;17;16;20;26;31;27;38;57;72;77;79;137;607
"35045 PIEDADE";16;22;24;27;43;42;59;60;64;90;93;89;168;797
"35046 SOROCABA";204;211;242;265;367;430;422;447;590;660;849;741;1381;6809
"35047 JUNDIAI";80;87;113;110;118;181;204;216;281;302;380;339;710;3121
"35048 BRAGANCA PAULISTA";54;81;68;79;119;129;172;180;222;287;342;320;631;2684
"35049 CAMPOS DO JORDAO";11;18;28;45;38;56;49;52;47;51;53;57;63;568
"35050 SAO JOSE DOS CAMPOS";259;216;249;290;366;407;406;466;517;615;714;698;1257;6460
"35051 GUARATINGUETA";60;59;72;107;121;153;184;197;215;233;296;257;532;2486
