"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";9;9;11;15;23;37;34;54;58;96;132;117;297;892
"35002 FERNANDOPOLIS";9;8;17;23;17;26;48;38;55;68;91;83;180;663
"35003 VOTUPORANGA";15;14;12;19;24;25;40;50;69;85;108;98;238;797
"35004 SAO JOSE DO RIO PRETO";89;96;102;132;179;244;285;310;422;528;629;624;1308;4948
"35005 CATANDUVA";18;35;36;41;49;84;74;101;121;166;214;229;415;1583
"35006 AURIFLAMA";4;2;4;4;6;5;8;18;10;17;22;19;41;160
"35007 NHANDEARA";2;2;5;3;6;5;10;11;22;20;23;36;111;256
"35008 NOVO HORIZONTE";4;3;4;6;12;14;14;13;18;30;34;41;115;308
"35009 BARRETOS";25;33;40;50;80;114;155;143;169;195;213;163;308;1688
"35010 SAO JOAQUIM DA BARRA";11;12;19;38;39;47;50;51;83;80;78;114;229;851
"35011 ITUVERAVA";12;14;17;15;20;38;32;39;58;71;67;85;155;623
"35012 FRANCA";41;46;59;74;87;115;132;160;191;222;252;233;444;2056
"35013 JABOTICABAL";29;31;50;61;88;91;109;109;119;192;229;249;602;1959
"35014 RIBEIRAO PRETO";131;104;150;198;239;336;371;397;544;547;695;687;1298;5697
"35015 BATATAIS";6;8;8;13;19;13;28;32;28;39;57;63;140;454
"35016 ANDRADINA";15;18;30;27;33;54;60;70;90;104;119;125;310;1055
"35017 ARACATUBA";37;31;43;78;83;85;102;109;133;181;189;217;441;1729
"35018 BIRIGUI";22;17;25;30;41;54;76;71;87;119;141;165;311;1159
"35019 LINS";21;14;19;33;45;57;59;76;88;122;95;144;285;1058
"35020 BAURU";61;84;91;107;135;168;196;211;250;328;390;441;816;3278
"35021 JAU";37;26;51;76;93;128;158;192;188;277;317;269;566;2378
"35022 AVARE";12;29;26;30;44;52;51;60;85;102;132;114;239;976
"35023 BOTUCATU";29;20;30;48;57;75;93;121;139;181;190;198;422;1603
"35024 ARARAQUARA";54;58;60;80;113;135;174;182;206;265;338;335;754;2754
"35025 SAO CARLOS";35;39;44;46;60;96;95;94;126;153;185;215;458;1646
"35026 RIO CLARO";31;29;40;40;66;62;70;102;106;137;151;190;405;1429
"35027 LIMEIRA";63;92;87;126;158;173;162;187;263;331;338;412;712;3104
"35028 PIRACICABA";66;63;83;107;120;153;212;196;264;297;370;385;816;3132
"35029 PIRASSUNUNGA";31;18;16;27;41;45;43;64;60;79;106;118;214;862
"35030 SAO JOAO DA BOA VISTA";39;40;49;78;87;126;171;150;223;252;339;352;716;2622
"35031 MOJI MIRIM";45;50;59;53;86;112;137;157;148;195;226;230;464;1962
"35032 CAMPINAS";426;329;392;483;580;740;813;869;966;1115;1379;1423;2918;12433
"35033 AMPARO";17;18;16;25;29;55;50;67;77;110;122;158;347;1091
"35034 DRACENA";5;9;15;14;26;35;23;40;64;77;93;96;232;729
"35035 ADAMANTINA";9;15;19;19;27;37;48;59;66;87;111;123;309;929
"35036 PRESIDENTE PRUDENTE";51;58;76;99;138;160;194;231;292;366;448;425;884;3422
"35037 TUPA";16;15;9;23;38;45;48;41;59;100;99;97;201;791
"35038 MARILIA";34;50;46;63;90;107;151;153;176;240;264;262;636;2272
"35039 ASSIS";17;27;30;42;44;61;71;102;134;157;179;177;387;1428
"35040 OURINHOS";23;19;34;58;77;81;120;126;135;183;214;222;448;1740
"35041 ITAPEVA";23;23;37;47;64;72;81;89;107;127;138;170;309;1287
"35042 ITAPETININGA";17;17;19;21;43;56;57;60;73;109;98;112;238;920
"35043 TATUI";26;29;35;32;55;64;56;68;96;133;149;152;323;1218
"35044 CAPAO BONITO";8;18;12;18;30;32;32;48;58;81;81;69;154;641
"35045 PIEDADE";25;30;27;30;43;51;37;62;65;84;109;99;187;849
"35046 SOROCABA";210;196;202;257;322;389;467;535;568;756;796;847;1511;7056
"35047 JUNDIAI";86;79;91;124;148;192;230;197;271;310;392;388;781;3289
"35048 BRAGANCA PAULISTA";62;75;73;78;119;155;141;199;234;292;311;397;697;2833
"35049 CAMPOS DO JORDAO";6;16;19;35;25;38;34;34;32;51;53;38;96;477
"35050 SAO JOSE DOS CAMPOS";212;204;242;294;296;416;510;526;593;668;754;726;1457;6898
"35051 GUARATINGUETA";57;51;93;116;131;154;180;209;260;237;319;307;603;2717
"35052 BANANAL";2;1;2;3;2;7;6;7;7;7;16;9;30;99
"35053 PARAIBUNA/PARAITINGA";7;15;6;12;11;12;15;11;28;25;44;49;65;300
"35054 CARAGUATATUBA";65;57;59;66;66;96;76;96;90;95;113;118;221;1218
"35055 REGISTRO";41;41;63;52;78;96;110;90;126;146;134;155;324;1456
"35056 ITANHAEM";40;45;29;57;58;74;71;83;105;117;109;102;197;1087
"35057 OSASCO";324;338;267;316;364;426;509;517;520;538;610;593;983;6305
"35058 FRANCO DA ROCHA";71;69;79;84;111;131;117;144;139;132;169;137;220;1603
"35059 GUARULHOS";253;228;241;311;304;337;377;361;461;464;504;489;924;5254
"35060 ITAPECERICA DA SERRA";193;187;157;189;218;253;304;289;334;317;357;363;602;3763
"35061 SAO PAULO";2807;2476;2592;3014;3782;4632;5233;5924;6596;7308;8656;9254;18343;80617
"35062 MOGI DAS CRUZES";203;211;200;250;299;364;401;455;461;480;533;563;967;5387
"35063 SANTOS";319;251;269;323;419;586;641;688;776;880;1083;1040;2050;9325
