"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";8;16;16;20;26;28;30;55;40;72;84;106;178;679
"35002 FERNANDOPOLIS";4;10;7;18;20;24;25;42;35;51;60;63;144;503
"35003 VOTUPORANGA";10;11;13;13;23;27;38;29;46;64;71;103;140;588
"35004 SAO JOSE DO RIO PRETO";77;110;124;149;181;176;259;313;354;354;417;418;682;3614
"35005 CATANDUVA";17;25;28;33;41;48;67;94;91;107;129;143;232;1055
"35006 AURIFLAMA";5;-;2;5;2;9;13;13;14;22;17;16;43;161
"35007 NHANDEARA";1;7;5;3;5;16;10;28;27;28;36;28;68;262
"35008 NOVO HORIZONTE";3;5;6;6;10;15;22;21;20;26;35;44;64;277
"35009 BARRETOS";17;20;34;30;43;55;75;77;79;98;90;122;181;921
"35010 SAO JOAQUIM DA BARRA";16;20;18;17;30;44;48;62;79;74;78;83;144;713
"35011 ITUVERAVA";8;10;14;13;15;19;33;37;35;39;58;41;96;418
"35012 FRANCA";31;43;43;49;60;75;92;114;126;134;173;149;255;1344
"35013 JABOTICABAL";26;33;51;36;70;68;82;93;132;148;201;222;393;1555
"35014 RIBEIRAO PRETO";98;137;173;183;221;240;327;401;391;472;497;468;734;4342
"35015 BATATAIS";3;10;3;16;9;9;30;35;36;47;53;57;96;404
"35016 ANDRADINA";17;24;14;20;21;39;49;56;88;93;98;112;177;808
"35017 ARACATUBA";40;37;46;50;35;76;67;81;115;112;155;139;242;1195
"35018 BIRIGUI";12;15;19;30;20;38;62;53;87;108;87;121;207;859
"35019 LINS";11;25;27;27;33;37;50;63;91;89;104;121;160;838
"35020 BAURU";43;46;70;81;106;99;131;192;232;221;273;276;450;2220
"35021 JAU";21;31;45;57;55;84;105;153;162;192;202;186;370;1663
"35022 AVARE";20;27;36;23;34;54;49;57;66;75;90;90;126;747
"35023 BOTUCATU";32;30;42;49;46;63;72;92;95;105;130;131;205;1092
"35024 ARARAQUARA";32;51;65;71;75;96;151;167;180;199;224;253;409;1973
"35025 SAO CARLOS";20;26;34;42;37;47;73;78;116;139;142;164;268;1186
"35026 RIO CLARO";23;19;34;29;37;46;59;79;106;117;108;131;262;1050
"35027 LIMEIRA";51;65;76;70;102;104;118;148;203;178;209;240;378;1942
"35028 PIRACICABA";57;61;80;74;94;104;141;180;200;232;271;248;504;2246
"35029 PIRASSUNUNGA";18;15;21;25;22;26;43;54;51;55;83;101;144;658
"35030 SAO JOAO DA BOA VISTA";38;54;62;66;85;94;136;175;204;244;305;287;483;2233
"35031 MOJI MIRIM";34;34;34;46;56;69;86;93;115;141;151;135;259;1253
"35032 CAMPINAS";226;279;333;347;399;491;600;670;813;879;899;886;1421;8243
"35033 AMPARO";13;16;17;17;32;29;52;67;79;101;108;103;210;844
"35034 DRACENA";8;9;11;15;23;22;40;37;52;60;70;94;129;570
"35035 ADAMANTINA";7;13;11;22;21;21;43;76;78;73;115;101;198;779
"35036 PRESIDENTE PRUDENTE";65;65;75;80;102;120;182;194;248;248;291;299;425;2394
"35037 TUPA";8;11;15;17;18;34;38;39;56;69;86;82;143;616
"35038 MARILIA";45;54;34;57;88;112;140;174;176;204;234;210;349;1877
"35039 ASSIS";29;28;35;45;45;60;80;92;98;106;164;134;236;1152
"35040 OURINHOS";29;33;46;37;57;75;82;104;156;155;173;191;294;1432
"35041 ITAPEVA";28;26;27;40;42;43;71;97;117;121;151;129;198;1090
"35042 ITAPETININGA";11;15;32;29;36;29;43;47;69;89;98;104;153;755
"35043 TATUI";25;14;37;26;37;31;49;64;79;106;103;120;191;882
"35044 CAPAO BONITO";8;19;18;18;29;23;46;43;44;73;67;59;91;538
"35045 PIEDADE";27;20;21;21;23;27;37;55;60;63;70;82;101;607
"35046 SOROCABA";163;160;204;186;237;272;358;409;458;481;543;516;763;4750
"35047 JUNDIAI";64;91;97;88;123;145;158;193;248;243;284;292;456;2482
"35048 BRAGANCA PAULISTA";44;66;56;69;86;84;121;154;191;204;225;248;339;1887
"35049 CAMPOS DO JORDAO";10;17;19;15;20;25;27;39;40;51;44;40;54;401
"35050 SAO JOSE DOS CAMPOS";174;165;237;208;243;268;316;354;428;512;524;491;824;4744
"35051 GUARATINGUETA";60;64;71;98;110;121;147;160;189;236;265;215;423;2159
"35052 BANANAL";6;8;1;2;2;7;1;5;9;3;15;9;23;91
"35053 PARAIBUNA/PARAITINGA";14;15;7;11;14;12;18;27;28;42;35;35;50;308
"35054 CARAGUATATUBA";29;45;46;36;34;38;47;58;62;53;50;74;68;640
"35055 REGISTRO";49;66;70;53;60;65;74;89;83;105;106;123;176;1119
"35056 ITANHAEM";27;28;16;24;27;34;28;29;33;30;35;27;47;385
"35057 OSASCO";201;165;199;194;167;187;234;225;247;272;256;243;350;2940
"35058 FRANCO DA ROCHA";30;46;48;52;49;49;63;64;84;87;76;78;114;840
"35059 GUARULHOS";173;149;187;193;219;254;263;279;344;315;337;290;431;3434
"35060 ITAPECERICA DA SERRA";89;86;99;108;137;141;168;192;228;228;223;241;392;2332
"35061 SAO PAULO";2682;2820;3241;3333;3615;4018;4882;5765;6654;6731;6828;6627;10972;68168
"35062 MOGI DAS CRUZES";144;127;210;191;207;235;274;314;344;307;377;320;486;3536
"35063 SANTOS";254;263;313;322;358;398;494;626;717;770;725;766;1299;7305
"Total";5535;6000;7075;7305;8274;9399;11719;13876;16128;17053;18208;18027;29500;168099
