"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"35001 JALES";13;15;9;20;28;39;51;61;66;94;97;108;249;850
"35002 FERNANDOPOLIS";5;7;9;14;26;30;29;41;52;71;99;83;185;651
"35003 VOTUPORANGA";9;12;16;13;30;38;32;43;84;86;110;110;210;793
"35004 SAO JOSE DO RIO PRETO";85;82;105;155;167;230;268;334;431;515;603;627;1216;4818
"35005 CATANDUVA";28;24;33;48;70;68;75;95;125;156;184;221;407;1534
"35006 AURIFLAMA";1;4;8;5;3;7;12;15;9;19;17;17;61;178
"35007 NHANDEARA";8;1;7;6;7;14;9;12;10;24;26;30;74;228
"35008 NOVO HORIZONTE";7;5;2;9;20;9;18;27;26;44;35;53;120;375
"35009 BARRETOS";34;31;36;52;64;85;111;129;147;170;177;153;269;1458
"35010 SAO JOAQUIM DA BARRA";20;12;17;20;40;41;45;61;75;113;120;121;232;917
"35011 ITUVERAVA";8;10;16;13;19;22;27;40;53;54;57;64;124;507
"35012 FRANCA";44;50;53;78;99;110;117;128;181;211;220;233;474;1998
"35013 JABOTICABAL";33;40;64;58;71;92;117;118;148;186;243;268;597;2035
"35014 RIBEIRAO PRETO";169;158;172;221;285;316;374;409;473;542;698;652;1222;5691
"35015 BATATAIS";3;17;10;16;18;22;31;36;34;42;50;65;178;522
"35016 ANDRADINA";17;28;22;33;48;46;55;64;75;114;114;155;278;1049
"35017 ARACATUBA";38;35;44;63;61;83;95;101;143;173;198;230;412;1676
"35018 BIRIGUI";17;25;28;31;45;51;59;77;67;114;132;146;329;1121
"35019 LINS";12;16;17;32;55;54;72;53;67;105;115;128;255;981
"35020 BAURU";55;62;100;116;139;156;185;252;266;347;427;425;899;3429
"35021 JAU";36;37;45;76;114;127;183;167;198;277;326;313;607;2506
"35022 AVARE";14;22;25;36;49;55;55;69;87;107;123;116;227;985
"35023 BOTUCATU";34;32;45;59;69;84;98;99;122;166;163;185;366;1522
"35024 ARARAQUARA";66;71;89;85;125;145;158;194;219;302;334;336;729;2853
"35025 SAO CARLOS";31;38;28;67;69;90;92;111;135;149;166;210;452;1638
"35026 RIO CLARO";51;46;45;54;61;70;102;107;111;132;170;203;435;1587
"35027 LIMEIRA";66;76;97;116;128;206;185;225;230;297;351;384;635;2996
"35028 PIRACICABA";89;79;88;107;141;160;174;201;239;301;375;389;773;3116
"35029 PIRASSUNUNGA";19;28;23;34;28;48;55;50;82;97;118;149;257;988
"35030 SAO JOAO DA BOA VISTA";38;49;64;87;103;112;158;176;243;269;371;369;711;2750
"35031 MOJI MIRIM";52;58;52;64;105;112;133;152;174;195;214;249;476;2036
"35032 CAMPINAS";455;372;409;474;559;692;740;823;960;1191;1365;1455;2748;12243
"35033 AMPARO";22;17;24;31;38;52;62;74;66;91;132;117;315;1041
"35034 DRACENA";6;8;15;14;17;30;33;37;56;71;81;110;249;727
"35035 ADAMANTINA";6;14;11;17;33;31;41;50;65;92;95;167;279;901
"35036 PRESIDENTE PRUDENTE";52;62;80;101;149;188;189;218;275;359;385;399;907;3364
"35037 TUPA";10;12;22;23;29;39;39;61;55;81;78;102;203;754
"35038 MARILIA";36;44;43;50;91;94;125;145;162;207;241;256;549;2043
"35039 ASSIS";22;27;30;44;59;63;85;117;120;157;176;203;428;1531
"35040 OURINHOS";27;27;48;51;71;91;101;117;146;188;201;187;433;1688
"35041 ITAPEVA";27;27;34;49;66;71;62;95;111;145;172;164;270;1293
"35042 ITAPETININGA";26;26;26;32;31;47;56;59;79;109;112;118;260;981
"35043 TATUI";21;25;26;38;48;53;81;79;103;127;158;135;309;1203
"35044 CAPAO BONITO";10;14;25;17;21;30;39;38;53;55;61;83;135;581
"35045 PIEDADE";28;19;21;39;40;34;52;55;62;94;110;89;191;834
"35046 SOROCABA";226;212;213;257;352;399;434;489;583;690;777;799;1395;6826
"35047 JUNDIAI";83;80;93;108;137;187;211;231;252;296;366;340;732;3116
"35048 BRAGANCA PAULISTA";63;65;82;108;118;138;170;199;207;241;328;352;709;2780
"35049 CAMPOS DO JORDAO";8;22;28;39;36;54;44;36;44;48;58;45;99;561
"35050 SAO JOSE DOS CAMPOS";221;212;251;265;329;399;441;485;580;615;766;712;1448;6724
"35051 GUARATINGUETA";54;64;67;104;123;152;166;187;214;276;308;324;576;2615
