"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";17063;15917;13902;14481;13983;11974;10127;7968;6505;5570;4491;3566;3110;128657
"33002 SANTO ANTONIO DE PADUA";10749;10032;8922;9260;8963;7758;6521;5487;4536;3854;3018;2415;2196;83711
"33003 CAMPOS DOS GOYTACAZES";52009;47043;40384;41309;40371;34652;27964;22856;18089;15144;11567;8555;7318;367261
"33004 MACAE";21415;19262;16656;16503;16173;13468;9996;7343;5199;4211;3013;2251;1928;137418
"33005 TRES RIOS";13155;12421;11211;11668;11186;10036;8284;6549;4955;4146;3168;2458;2073;101310
"33006 CANTAGALO-CORDEIRO";5438;5155;4559;4721;4373;3846;3273;2654;2077;1685;1378;1046;985;41190
"33007 NOVA FRIBURGO";20209;19605;17769;18233;17510;15468;12942;10311;7819;6230;4955;3953;3265;158269
"33008 SANTA MARIA MADALENA";2627;2353;2127;2207;2129;1845;1561;1278;1090;915;746;559;514;19951
"33009 BACIA DE SAO JOAO";11534;10473;9095;8897;8383;7025;5511;4242;3100;2583;1901;1404;1143;75291
"33010 LAGOS";40973;38183;34677;35028;33669;28748;22856;18388;14151;11367;8236;5756;4545;296577
"33011 VALE DO PARAIBA FLUMINENSE";60552;55961;49431;50670;51350;45906;36866;27526;19754;16230;12154;9088;7004;442492
"33012 BARRA DO PIRAI";14666;13835;12276;12780;13012;11579;9637;7734;5869;4951;3902;3012;2576;115829
"33013 BAIA DA ILHA GRANDE";17455;16450;14008;13492;12595;11022;8347;6147;4251;3176;2139;1508;1282;111872
"33014 VASSOURAS";13704;12738;11929;12406;12120;10489;8516;6934;5391;4558;3629;2796;2274;107484
"33015 SERRANA";39775;38746;35872;36349;34375;30398;25941;21298;16217;13374;10323;7939;6569;317176
"33016 MACACU-CACERIBU";9696;9358;8265;8014;7452;6465;5310;4249;3173;2592;2024;1573;1294;69465
"33017 ITAGUAI";18321;17407;15280;14727;13724;12230;9810;7547;5468;4369;3167;2305;1753;126108
"33018 RIO DE JANEIRO";991760;965684;870352;847654;825089;748296;629009;502260;380837;323618;253015;196349;159733;7693656
"Total";1361101;1310623;1176715;1158399;1126457;1011205;842471;670771;508481;428573;332826;256533;209562;10393717
