"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";12623;9842;7493;6616;6259;5620;5176;4069;3332;2748;2064;1447;883;68172
"33002 SANTO ANTONIO DE PADUA";8554;6725;5887;5297;4919;4242;3911;3355;2781;2384;1589;1057;846;51547
"33003 CAMPOS DOS GOYTACAZES";42952;32074;25802;22807;21714;18260;16156;12275;10276;9039;6085;3792;3002;224234
"33004 MACAE";8903;7053;5754;4688;4255;3493;3017;2406;2040;1718;1106;795;618;45846
"33005 TRES RIOS";11718;9577;7701;6359;5831;4945;4574;3291;2437;2073;1490;929;749;61674
"33006 CANTAGALO-CORDEIRO";4326;3503;2962;2545;2215;1970;1755;1357;1161;915;596;456;359;24120
"33007 NOVA FRIBURGO";16196;13799;11377;9222;7963;6812;6645;4880;3975;3268;2067;1253;1004;88461
"33008 SANTA MARIA MADALENA";2535;1908;1615;1513;1314;1279;1264;906;752;789;500;303;176;14854
"33009 BACIA DE SAO JOAO";3537;2743;2182;1823;1805;1506;1384;1038;970;721;559;302;244;18814
"33010 LAGOS";18462;14750;12153;10123;9212;7013;6016;4473;3949;3012;1838;1356;1172;93529
"33011 VALE DO PARAIBA FLUMINENSE";52981;44787;34275;25598;22726;19120;16524;12707;8997;5873;3534;2206;1738;251066
"33012 BARRA DO PIRAI";13812;11122;9068;7410;6820;5999;5487;4267;3306;2760;1707;1256;826;73840
"33013 BAIA DA ILHA GRANDE";7975;7151;5849;4512;3588;2791;2263;1763;1318;993;607;425;342;39577
"33014 VASSOURAS";11719;9232;7453;6393;6370;5368;4950;3910;3111;2576;1601;1072;728;64483
"33015 SERRANA";33546;29222;24756;20306;18532;15752;14428;11305;8775;6690;4247;2561;1823;191943
"33016 MACACU-CACERIBU";7139;5658;4624;3844;3556;3037;2723;2355;1912;1398;952;681;497;38376
"33017 ITAGUAI";10452;8792;6989;5398;4874;3981;3728;2676;2208;1715;1098;646;508;53065
"33018 RIO DE JANEIRO";896194;796796;657386;530085;499438;434577;394548;297306;221257;168884;113581;72308;58327;5140687
"Total";1163624;1014734;833326;674539;631391;545765;494549;374339;282557;217556;145221;92845;73842;6544288
