"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";16672;14369;14214;14374;12792;10868;8755;7194;6196;5275;4398;3581;2194;120882
"33002 SANTO ANTONIO DE PADUA";10622;9297;9188;9282;8385;6999;5960;5040;4320;3571;2954;2486;1568;79672
"33003 CAMPOS DOS GOYTACAZES";49227;41748;40557;41337;37356;30528;25303;20310;17329;14138;11031;8402;5389;342655
"33004 MACAE";17665;15694;15028;15504;13986;10770;8058;5769;4637;3544;2727;2105;1328;116815
"33005 TRES RIOS";12961;11557;11600;11554;10820;9116;7394;5697;4771;3857;3125;2464;1482;96398
"33006 CANTAGALO-CORDEIRO";5429;4713;4704;4559;4129;3519;2919;2330;1889;1630;1283;1120;685;38909
"33007 NOVA FRIBURGO";20385;18454;18248;18205;16692;14209;11634;8983;7070;5820;4874;3902;2230;150706
"33008 SANTA MARIA MADALENA";2519;2198;2194;2200;1963;1686;1413;1215;1033;897;713;575;384;18990
"33009 BACIA DE SAO JOAO";8597;7618;7191;6945;6174;4987;3982;2998;2508;2004;1555;1166;709;56434
"33010 LAGOS";36277;33084;32292;32087;28575;22863;18558;14653;12138;9442;6927;5087;2918;254901
"33011 VALE DO PARAIBA FLUMINENSE";58581;51447;49863;52121;49476;41194;31920;23050;18472;14719;11451;8938;4554;415786
"33012 BARRA DO PIRAI";14498;12736;12498;13149;12373;10528;8673;6670;5564;4643;3758;3000;1805;109895
"33013 BAIA DA ILHA GRANDE";15563;13595;12702;12302;11354;8981;6808;4847;3607;2590;1851;1447;854;96501
"33014 VASSOURAS";13051;11968;12030;12315;11303;9299;7661;6067;5112;4312;3512;2744;1559;100933
"33015 SERRANA";39708;36731;36208;35603;32688;28128;23731;18422;15181;12361;9931;7863;4508;301063
"33016 MACACU-CACERIBU";9546;8539;8029;7686;6939;5794;4761;3612;2936;2404;1965;1540;899;64650
"33017 ITAGUAI";16947;15120;14179;13484;12479;10380;8267;6118;4949;3814;2909;2129;1177;111952
"33018 RIO DE JANEIRO";985566;908287;854223;846760;802718;693826;573322;438878;368671;305308;248207;195261;109924;7330951
"Total";1333814;1217155;1154948;1149467;1080202;923675;759119;581853;486383;400329;323171;253810;144167;9808093
