"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";14226;12531;10360;9024;7927;6771;6060;5113;4640;3643;2545;1746;1486;86072
"33002 SANTO ANTONIO DE PADUA";9115;7962;6942;6101;5511;4638;4248;3564;3146;2689;1824;1269;1076;58085
"33003 CAMPOS DOS GOYTACAZES";42576;36479;30931;26411;23620;19359;17277;13740;12037;9311;6533;4301;3818;246393
"33004 MACAE";10145;9612;8522;6815;5590;4312;3726;2915;2548;1910;1382;923;841;59241
"33005 TRES RIOS";11929;10642;9122;7691;6764;5405;4868;3837;3273;2401;1621;1098;945;69596
"33006 CANTAGALO-CORDEIRO";4682;4092;3484;3077;2658;2247;1927;1599;1381;1139;754;508;436;27984
"33007 NOVA FRIBURGO";17647;16236;14310;12074;10468;8307;7346;5799;5063;3967;2578;1701;1364;106860
"33008 SANTA MARIA MADALENA";2592;2157;1849;1638;1408;1284;1170;990;881;774;488;342;266;15839
"33009 BACIA DE SAO JOAO";4167;3566;3009;2465;2172;1704;1561;1283;1139;894;624;395;331;23310
"33010 LAGOS";20697;18785;16367;13544;11421;8868;7477;6072;5034;3760;2407;1661;1485;117578
"33011 VALE DO PARAIBA FLUMINENSE";51244;48014;41234;33639;27823;21569;18223;14575;11513;8075;4871;3016;2362;286158
"33012 BARRA DO PIRAI";13492;12266;10566;8895;7721;6429;5761;4748;4026;3075;2023;1383;1186;81571
"33013 BAIA DA ILHA GRANDE";8844;8489;7690;6256;4869;3559;2839;2225;1704;1252;788;527;444;49486
"33014 VASSOURAS";11835;10704;9388;7718;7112;5753;5248;4320;3820;2849;1816;1236;1018;72817
"33015 SERRANA";34862;31956;28154;24233;21445;17312;15277;12482;10360;7878;5147;3254;2622;214982
"33016 MACACU-CACERIBU";7478;6496;5513;4620;4140;3324;2951;2414;2100;1660;1089;728;674;43187
"33017 ITAGUAI";11287;9977;8755;7161;6071;4673;4098;3280;2756;2060;1275;816;662;62871
"33018 RIO DE JANEIRO";878068;831006;734528;628816;558147;457585;410884;329807;271362;200964;133472;87171;74465;5596275
"Total";1154886;1080970;950724;810178;714867;583099;520941;418763;346783;258301;171237;112075;95481;7218305
