"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";14425;13213;11142;9671;8285;6952;6170;5356;4947;3810;2626;1830;1653;90080
"33002 SANTO ANTONIO DE PADUA";9345;8444;7363;6431;5751;4797;4368;3681;3313;2776;1902;1347;1188;60706
"33003 CAMPOS DOS GOYTACAZES";42958;38620;33323;28164;24648;20036;17889;14535;12795;9583;6780;4583;4138;258052
"33004 MACAE";10682;10605;9589;7646;6122;4643;3969;3129;2742;1989;1448;984;920;64468
"33005 TRES RIOS";11999;11070;9699;8237;7143;5603;5019;4048;3538;2532;1719;1172;1024;72803
"33006 CANTAGALO-CORDEIRO";4818;4338;3712;3293;2838;2363;2008;1683;1460;1199;818;544;473;29547
"33007 NOVA FRIBURGO";18236;17215;15506;13249;11494;8915;7663;6121;5532;4226;2768;1859;1500;114284
"33008 SANTA MARIA MADALENA";2614;2236;1928;1679;1429;1290;1156;999;916;763;494;355;285;16144
"33009 BACIA DE SAO JOAO";4416;3896;3347;2723;2324;1782;1636;1372;1219;945;660;435;369;25124
"33010 LAGOS";21680;20313;17946;14824;12319;9560;8025;6620;5526;4039;2566;1779;1622;126819
"33011 VALE DO PARAIBA FLUMINENSE";50564;49324;43976;36808;29849;22534;18821;15368;12505;8888;5401;3323;2597;299958
"33012 BARRA DO PIRAI";13331;12729;11184;9483;8081;6608;5881;4940;4281;3240;2162;1484;1293;84697
"33013 BAIA DA ILHA GRANDE";9210;9027;8415;6958;5389;3868;3101;2394;1843;1343;860;577;483;53468
"33014 VASSOURAS";11910;11200;10026;8218;7406;5941;5375;4504;4042;2976;1923;1321;1098;75940
"33015 SERRANA";35376;33050;29487;25781;22610;17947;15669;12994;11067;8346;5465;3543;2901;224236
"33016 MACACU-CACERIBU";7635;6828;5873;4931;4379;3435;3003;2482;2236;1730;1122;756;726;45136
"33017 ITAGUAI";11623;10465;9468;7883;6552;4959;4329;3462;2964;2175;1374;886;729;66869
"33018 RIO DE JANEIRO";870216;844806;765772;668736;581978;466889;417000;343343;290965;213422;141459;92982;80970;5778538
"Total";1151038;1107379;997756;864715;748597;598122;531082;437031;371891;273982;181547;119760;103969;7486869
