"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";14225;14820;15737;15742;15539;14071;14657;14303;11595;9530;6935;4876;6505;158535
"33002 SANTO ANTONIO DE PADUA";8248;8994;9143;9467;9333;8758;8994;8982;7274;6027;4779;3397;4520;97916
"33003 CAMPOS DOS GOYTACAZES";47747;50088;50220;49863;46427;40700;40713;38402;32342;24486;17965;12337;15373;466663
"33004 MACAE";28119;27925;29614;29654;25071;19546;17844;16387;12993;9018;6039;3747;4329;230286
"33005 TRES RIOS";12181;12216;12522;12109;11793;10784;11145;10491;9191;7099;5302;3432;4323;122588
"33006 CANTAGALO-CORDEIRO";4638;4726;4750;5018;4756;4466;4633;4364;3676;3046;2307;1581;2046;50007
"33007 NOVA FRIBURGO";16664;17386;18044;18447;18506;16900;17386;16370;14391;11923;8812;5939;7443;188211
"33008 SANTA MARIA MADALENA";1933;2173;2161;2165;2179;2152;2230;2035;1750;1436;1034;763;1011;23022
"33009 BACIA DE SAO JOAO";17953;17821;18247;18915;17903;15357;13741;11857;9327;6613;4294;2698;3125;157851
"33010 LAGOS";50326;50524;47324;47648;46921;43846;44192;42569;35742;26928;19682;13217;14751;483670
"33011 VALE DO PARAIBA FLUMINENSE";53163;53893;56594;57845;54615;48244;47956;47990;42510;33355;23394;14419;17767;551745
"33012 BARRA DO PIRAI";13394;13339;13723;13703;13389;12122;12292;12501;11027;8770;6501;4347;5685;140793
"33013 BAIA DA ILHA GRANDE";21641;20418;20451;21157;19835;16367;15143;12952;11040;7898;5472;3222;3360;178956
"33014 VASSOURAS";12937;13956;13705;13515;12761;12189;12418;11959;10114;7651;5804;3937;5084;136030
"33015 SERRANA";38089;38733;38061;37556;37165;34591;35057;32559;28380;22889;17852;11799;15016;387747
"33016 MACACU-CACERIBU";9105;9185;9264;9181;9165;8555;7816;7241;6079;4836;3487;2316;2863;89093
"33017 ITAGUAI";21782;21147;21443;20595;19812;17841;16480;14440;12594;9249;6428;3970;4433;190214
"33018 RIO DE JANEIRO";958521;930716;946664;982384;944151;841045;782169;736618;656918;527740;390337;255781;341823;9294867
"Total";1330666;1308060;1327667;1364964;1309321;1167534;1104866;1042020;916943;728494;536424;351778;459457;12948194
