"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";15663;14857;14985;13327;11460;9095;7432;6551;5790;5291;3538;2307;2443;112739
"33002 SANTO ANTONIO DE PADUA";9361;8869;9048;7967;6956;5848;4984;4315;3763;3255;2307;1566;1681;69920
"33003 CAMPOS DOS GOYTACAZES";44620;41023;42424;38012;31579;25812;21277;18104;15662;12963;8294;5574;5813;311157
"33004 MACAE";14824;14315;15526;13679;11267;8068;6086;4874;3952;3159;2131;1413;1550;100844
"33005 TRES RIOS";11686;11324;11494;10264;9032;7274;5916;4753;4218;3465;2270;1438;1409;84543
"33006 CANTAGALO-CORDEIRO";5143;4783;4811;4209;3746;3032;2563;2037;1787;1454;1087;778;747;36177
"33007 NOVA FRIBURGO";19197;18415;18721;17084;15083;12171;9443;7493;6374;5603;3942;2408;2313;138247
"33008 SANTA MARIA MADALENA";2478;2339;2284;2007;1670;1398;1237;1081;964;856;587;395;429;17725
"33009 BACIA DE SAO JOAO";6929;6221;6048;5485;4477;3501;2670;2284;1894;1630;1021;731;703;43594
"33010 LAGOS";31333;29820;30565;27014;22201;17026;13986;11103;9822;7407;4678;2748;2900;210603
"33011 VALE DO PARAIBA FLUMINENSE";53290;50503;54405;51156;44660;33710;24923;19356;16784;13234;8921;5268;4406;380616
"33012 BARRA DO PIRAI";13305;12304;13832;12324;11023;8630;7001;5730;5138;4300;2937;1924;1964;100412
"33013 BAIA DA ILHA GRANDE";11947;10815;11046;10303;8545;6334;4732;3424;2704;1895;1337;821;737;74640
"33014 VASSOURAS";12327;12059;12354;11327;9387;7751;6256;5311;4697;4054;2586;1665;1569;91343
"33015 SERRANA";36802;35600;36144;32274;29308;24295;19078;15481;13509;11090;7822;4870;4586;270859
"33016 MACACU-CACERIBU";8803;7805;7504;6835;5970;4873;3736;3077;2606;2206;1468;939;980;56802
"33017 ITAGUAI";14064;12863;12616;11685;10063;7822;5964;4872;4196;3221;2083;1207;1213;91869
"33018 RIO DE JANEIRO";897434;849200;868668;813396;732517;597447;471819;391240;340418;283308;193733;117095;113524;6669799
"Total";1209206;1143115;1172475;1088348;968944;784087;619103;511086;444278;368391;250742;153147;148967;8861889
