"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";14696;15095;15794;15829;14942;14119;14557;13469;11051;8778;6409;4503;6105;155347
"33002 SANTO ANTONIO DE PADUA";8729;9029;9332;9543;9130;8759;9046;8466;6930;5707;4420;3132;4225;96448
"33003 CAMPOS DOS GOYTACAZES";49251;49736;50306;49178;44300;40600;40365;36922;30296;22901;16669;11610;14247;456381
"33004 MACAE";27271;27740;29468;28240;23093;18964;17631;15537;11858;8202;5424;3459;4003;220890
"33005 TRES RIOS";12399;12302;12441;12184;11483;10914;11022;10247;8647;6663;4804;3200;4017;120323
"33006 CANTAGALO-CORDEIRO";4770;4715;4880;4988;4674;4497;4546;4148;3509;2842;2110;1447;1910;49036
"33007 NOVA FRIBURGO";17276;17637;18353;18784;17969;17070;17181;15879;13694;10997;7990;5370;6919;185119
"33008 SANTA MARIA MADALENA";2073;2158;2176;2193;2158;2163;2181;1966;1676;1324;977;716;949;22710
"33009 BACIA DE SAO JOAO";17133;17093;17978;18205;16472;14335;12955;11027;8548;5930;3861;2505;2855;148897
"33010 LAGOS";50077;48275;46998;47169;44822;42527;42758;39756;32652;24559;17694;11909;13114;462310
"33011 VALE DO PARAIBA FLUMINENSE";54238;54789;57415;57384;52401;48117;48693;46929;39823;30331;20667;13276;16316;540379
"33012 BARRA DO PIRAI";13615;13443;13759;13729;12921;12155;12511;12162;10392;8137;5904;4019;5297;138044
"33013 BAIA DA ILHA GRANDE";20857;19865;20547;20810;18500;15820;14457;12518;10063;7185;4787;2880;3037;171326
"33014 VASSOURAS";13444;13666;13583;13324;12566;12233;12341;11448;9379;7168;5310;3650;4728;132840
"33015 SERRANA";38925;38256;38002;37973;36438;34741;34412;31488;26892;21638;16159;10965;13840;379729
"33016 MACACU-CACERIBU";9239;9144;9258;9288;8964;8245;7684;6915;5745;4457;3170;2133;2653;86895
"33017 ITAGUAI";21456;20849;20967;20330;18913;17108;15780;14023;11664;8482;5749;3661;4037;183019
"33018 RIO DE JANEIRO";958330;934473;968228;983571;912219;822110;780663;727371;627192;493619;355012;241565;319502;9123855
"Total";1333779;1308265;1349485;1362722;1261965;1144477;1098783;1020271;870011;678920;487116;330000;427754;12673548
