"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";14125;12186;9963;8694;7744;6678;6004;4990;4486;3558;2504;1704;1401;84037
"33002 SANTO ANTONIO DE PADUA";8995;7714;6722;5927;5386;4557;4186;3505;3057;2642;1782;1229;1016;56718
"33003 CAMPOS DOS GOYTACAZES";42383;35389;29715;25518;23098;19016;16964;13334;11652;9173;6407;4158;3655;240462
"33004 MACAE";9872;9107;7981;6391;5318;4144;3602;2808;2450;1869;1348;894;800;56584
"33005 TRES RIOS";11893;10425;8829;7413;6572;5305;4791;3730;3139;2336;1569;1061;907;67970
"33006 CANTAGALO-CORDEIRO";4612;3967;3369;2969;2566;2188;1886;1555;1341;1108;723;490;416;27190
"33007 NOVA FRIBURGO";17349;15739;13702;11475;9947;7998;7184;5633;4824;3835;2482;1619;1295;103082
"33008 SANTA MARIA MADALENA";2579;2108;1798;1610;1395;1278;1178;983;859;779;484;334;253;15638
"33009 BACIA DE SAO JOAO";4041;3398;2837;2335;2094;1664;1523;1237;1099;869;606;376;312;22391
"33010 LAGOS";20198;18009;15565;12895;10964;8517;7197;5794;4785;3619;2327;1600;1418;112888
"33011 VALE DO PARAIBA FLUMINENSE";51590;47348;39841;32028;26793;21079;17920;14172;11007;7663;4601;2860;2242;279144
"33012 BARRA DO PIRAI";13574;12031;10253;8595;7539;6339;5700;4650;3896;2992;1953;1331;1132;79985
"33013 BAIA DA ILHA GRANDE";8658;8216;7323;5900;4605;3402;2706;2139;1634;1206;752;503;425;47469
"33014 VASSOURAS";11799;10451;9064;7465;6963;5659;5184;4227;3705;2785;1761;1194;976;71233
"33015 SERRANA";34600;31402;27475;23446;20852;16991;15077;12222;10001;7640;4986;3108;2482;210282
"33016 MACACU-CACERIBU";7399;6328;5329;4462;4020;3267;2925;2381;2031;1626;1072;713;647;42200
"33017 ITAGUAI";11117;9730;8392;6795;5826;4528;3980;3186;2649;2003;1224;781;628;60839
"33018 RIO DE JANEIRO";882058;823991;718645;608523;546031;452856;407773;322927;261397;194632;129410;84217;71158;5503618
"Total";1156842;1067539;926803;782441;697713;575466;515780;409473;334012;250335;165991;108172;91163;7081730
