"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";14815;14543;12666;10935;8983;7303;6386;5828;5539;4142;2782;1998;1978;97898
"33002 SANTO ANTONIO DE PADUA";9789;9378;8175;7067;6212;5104;4601;3909;3638;2942;2053;1498;1404;65770
"33003 CAMPOS DOS GOYTACAZES";43701;42806;37998;31590;26656;21356;19087;16092;14277;10114;7263;5131;4765;280836
"33004 MACAE";11731;12543;11674;9272;7165;5289;4447;3544;3122;2146;1579;1103;1075;74690
"33005 TRES RIOS";12138;11905;10827;9305;7884;5992;5316;4457;4053;2785;1913;1316;1174;79065
"33006 CANTAGALO-CORDEIRO";5084;4819;4155;3712;3190;2590;2166;1850;1613;1313;941;616;549;32598
"33007 NOVA FRIBURGO";19382;19127;17844;15547;13499;10102;8284;6750;6447;4731;3136;2172;1766;128787
"33008 SANTA MARIA MADALENA";2665;2430;2124;1785;1481;1313;1126;1026;1002;747;507;385;333;16924
"33009 BACIA DE SAO JOAO";4903;4543;4010;3226;2621;1936;1784;1547;1376;1046;729;513;443;28677
"33010 LAGOS";23601;23293;21034;17325;14073;10908;9097;7688;6485;4584;2876;2010;1886;144860
"33011 VALE DO PARAIBA FLUMINENSE";49231;51885;49331;42999;33804;24417;19985;16915;14444;10477;6440;3925;3059;326912
"33012 BARRA DO PIRAI";13020;13634;12390;10634;8785;6955;6114;5317;4779;3562;2432;1680;1505;90807
"33013 BAIA DA ILHA GRANDE";9925;10077;9828;8328;6404;4470;3615;2723;2111;1522;1001;673;557;61234
"33014 VASSOURAS";12054;12170;11271;9194;7981;6307;5624;4866;4478;3227;2132;1487;1255;82046
"33015 SERRANA";36379;35185;32093;28807;24888;19187;16436;13993;12445;9262;6087;4106;3441;242309
"33016 MACACU-CACERIBU";7940;7476;6576;5538;4845;3652;3105;2612;2500;1866;1188;811;829;48938
"33017 ITAGUAI";12279;11417;10862;9292;7491;5516;4781;3819;3371;2398;1569;1022;859;74676
"33018 RIO DE JANEIRO";854879;871769;826811;746727;628534;485064;428950;369783;329264;237758;157063;104335;93678;6134615
"Total";1143516;1159000;1089669;971283;814496;627461;550904;472719;420944;304622;201691;134781;120556;8011642
