"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";14817;15529;15847;15715;14273;14365;14434;12505;10416;8044;5920;4272;5698;151835
"33002 SANTO ANTONIO DE PADUA";9003;9171;9522;9502;8879;8881;9074;7867;6530;5400;4091;2966;3923;94809
"33003 CAMPOS DOS GOYTACAZES";49571;49937;50410;47856;41953;41065;39937;35086;28006;21359;15465;11235;13100;444980
"33004 MACAE";25765;27825;29311;26445;21003;18643;17375;14530;10625;7396;4845;3273;3671;210707
"33005 TRES RIOS";12323;12521;12365;12093;11116;11197;10878;9907;8033;6238;4333;3064;3708;117776
"33006 CANTAGALO-CORDEIRO";4788;4757;5024;4886;4558;4593;4449;3893;3313;2644;1923;1356;1772;47956
"33007 NOVA FRIBURGO";17470;18081;18686;18883;17352;17481;16942;15232;12888;10092;7214;4961;6386;181668
"33008 SANTA MARIA MADALENA";2163;2167;2200;2193;2127;2203;2126;1879;1587;1214;928;689;885;22361
"33009 BACIA DE SAO JOAO";15880;16541;17707;17233;14948;13502;12126;10074;7691;5255;3450;2388;2578;139373
"33010 LAGOS";48605;46525;46654;46060;42484;41797;41208;36528;29283;22231;15806;10950;11451;439582
"33011 VALE DO PARAIBA FLUMINENSE";54025;56273;58283;56165;49939;48675;49350;45428;36831;27371;18077;12534;14847;527798
"33012 BARRA DO PIRAI";13507;13683;13817;13578;12387;12360;12707;11707;9672;7519;5344;3809;4903;134993
"33013 BAIA DA ILHA GRANDE";19561;19523;20658;20184;17069;15497;13735;11961;9001;6483;4132;2626;2709;163139
"33014 VASSOURAS";13629;13531;13462;12958;12312;12449;12242;10834;8570;6702;4848;3475;4366;129378
"33015 SERRANA";38827;38198;37986;37896;35528;35378;33698;30111;25190;20425;14563;10463;12639;370902
"33016 MACACU-CACERIBU";9152;9202;9255;9275;8718;8053;7534;6524;5364;4087;2872;2015;2438;84489
"33017 ITAGUAI";20606;20761;20496;19795;17914;16612;15038;13469;10639;7732;5102;3461;3633;175258
"33018 RIO DE JANEIRO";935149;948617;990585;972053;875839;814867;777736;711268;592604;460465;321792;234602;296674;8932251
"Total";1304841;1322842;1372268;1342770;1208399;1137618;1090589;988803;816243;630657;440705;318139;395381;12369255
