"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";14540;14932;15751;15812;15268;14059;14605;13904;11339;9147;6678;4662;6309;157006
"33002 SANTO ANTONIO DE PADUA";8533;8995;9230;9522;9247;8736;9020;8732;7112;5864;4605;3248;4376;97220
"33003 CAMPOS DOS GOYTACAZES";48762;49826;50215;49606;45453;40549;40535;37704;31367;23680;17330;11908;14821;461756
"33004 MACAE";27855;27789;29522;28995;24133;19208;17738;15982;12446;8604;5739;3582;4170;225763
"33005 TRES RIOS";12358;12235;12474;12167;11662;10821;11082;10380;8932;6874;5055;3297;4174;121511
"33006 CANTAGALO-CORDEIRO";4728;4713;4815;5006;4723;4471;4590;4262;3596;2943;2209;1506;1979;49541
"33007 NOVA FRIBURGO";17061;17483;18181;18640;18277;16943;17282;16141;14063;11452;8406;5621;7187;186737
"33008 SANTA MARIA MADALENA";2014;2162;2166;2183;2171;2152;2207;2003;1715;1379;1007;735;981;22875
"33009 BACIA DE SAO JOAO";17649;17431;18102;18594;17229;14812;13352;11459;8952;6269;4081;2588;2993;153511
"33010 LAGOS";50499;49312;47119;47493;45964;43082;43478;41223;34256;25731;18702;12493;13944;473296
"33011 VALE DO PARAIBA FLUMINENSE";53994;54241;56954;57701;53613;48061;48315;47510;41226;31821;22045;13770;17054;546305
"33012 BARRA DO PIRAI";13581;13365;13732;13737;13177;12108;12401;12345;10725;8447;6207;4159;5496;139480
"33013 BAIA DA ILHA GRANDE";21377;20106;20481;21018;19207;16054;14798;12749;10569;7538;5132;3034;3200;175263
"33014 VASSOURAS";13268;13782;13631;13440;12689;12181;12376;11719;9760;7405;5560;3772;4911;134494
"33015 SERRANA";38715;38424;38001;37822;36878;34579;34729;32057;27677;22250;17019;11318;14437;383906
"33016 MACACU-CACERIBU";9222;9149;9255;9249;9082;8379;7748;7086;5921;4643;3330;2212;2760;88036
"33017 ITAGUAI";21735;20967;21188;20497;19403;17431;16131;14250;12149;8859;6093;3794;4237;186734
"33018 RIO DE JANEIRO";963658;930869;956504;984483;929999;829484;781287;732765;643013;510346;372948;247281;330873;9213510
"Total";1339549;1305781;1337321;1365965;1288175;1153110;1101674;1032271;894818;703252;512146;338980;443902;12816944
