"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";16380;16228;15004;14081;14453;13546;11524;9591;7550;6010;4816;3606;4042;136831
"33002 SANTO ANTONIO DE PADUA";9941;10021;9327;8945;9094;8688;7309;6216;5168;4148;3282;2461;2770;87370
"33003 CAMPOS DOS GOYTACAZES";50976;50004;44809;40935;41630;38832;32837;26545;20953;16325;12965;8893;9181;394885
"33004 MACAE";23859;24676;21819;18584;18067;16467;13070;9577;6781;4875;3618;2447;2515;166355
"33005 TRES RIOS";12929;12652;11823;11273;11512;10817;9490;7669;5972;4478;3498;2504;2600;107217
"33006 CANTAGALO-CORDEIRO";5096;5228;4753;4616;4619;4253;3649;3084;2479;1883;1510;1073;1267;43510
"33007 NOVA FRIBURGO";19192;19610;18685;17591;17959;16753;14611;12101;9331;7006;5399;4026;4350;166614
"33008 SANTA MARIA MADALENA";2398;2307;2180;2134;2196;2029;1787;1493;1194;970;800;581;630;20699
"33009 BACIA DE SAO JOAO";13155;13814;12955;11443;10788;9650;7968;6236;4485;3266;2506;1623;1650;99539
"33010 LAGOS";42734;42877;40598;37797;37587;35035;29513;23917;18818;14214;10730;6899;6518;347237
"33011 VALE DO PARAIBA FLUMINENSE";58787;58906;53645;49322;50818;49787;43339;33984;24642;17776;13755;9726;9527;474014
"33012 BARRA DO PIRAI";14255;14150;13090;12272;12856;12641;11082;9075;7011;5365;4264;3112;3374;122547
"33013 BAIA DA ILHA GRANDE";17906;18744;17353;15140;14420;12815;10756;7985;5721;3875;2707;1702;1741;130865
"33014 VASSOURAS";13539;13189;12387;12162;12582;11823;9984;8003;6361;4924;3932;2888;2958;114732
"33015 SERRANA";38884;38919;37351;35719;35951;33078;28870;24123;19361;14600;11588;8186;8546;335176
"33016 MACACU-CACERIBU";9388;9441;8951;8373;7897;7278;6125;5027;3822;2874;2247;1613;1673;74709
"33017 ITAGUAI";19332;19072;17728;16126;15290;13918;12171;9557;7088;5068;3801;2499;2346;143996
"33018 RIO DE JANEIRO";967840;1008381;943315;857402;835364;795276;706381;580158;446163;338558;273239;198967;206798;8157842
"Total";1336591;1378219;1285773;1173915;1153083;1092686;960466;784341;602900;456215;364657;262806;272486;11124138
