"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";15078;14804;12892;11131;9143;7430;6495;5927;5632;4212;2828;2032;2011;99615
"33002 SANTO ANTONIO DE PADUA";9958;9544;8321;7191;6320;5192;4680;3979;3702;2993;2088;1524;1428;66920
"33003 CAMPOS DOS GOYTACAZES";44609;43699;38793;32249;27210;21796;19479;16422;14569;10319;7409;5235;4859;286648
"33004 MACAE";12344;13203;12294;9767;7545;5566;4678;3729;3282;2258;1659;1161;1130;78616
"33005 TRES RIOS";12436;12194;11090;9532;8078;6137;5445;4566;4149;2853;1960;1346;1200;80986
"33006 CANTAGALO-CORDEIRO";5206;4937;4256;3804;3267;2652;2217;1895;1651;1346;965;631;562;33389
"33007 NOVA FRIBURGO";20134;19872;18546;16160;14038;10507;8610;7015;6697;4917;3259;2257;1835;133847
"33008 SANTA MARIA MADALENA";2654;2420;2114;1777;1474;1307;1121;1023;998;745;503;382;332;16850
"33009 BACIA DE SAO JOAO";5094;4720;4164;3352;2719;2011;1851;1603;1427;1084;756;532;459;29772
"33010 LAGOS";24688;24370;22010;18126;14721;11407;9513;8038;6778;4788;3002;2098;1967;151506
"33011 VALE DO PARAIBA FLUMINENSE";50420;53142;50536;44053;34630;25008;20467;17325;14795;10732;6597;4016;3131;334852
"33012 BARRA DO PIRAI";13228;13854;12591;10806;8926;7068;6213;5403;4856;3619;2472;1708;1529;92273
"33013 BAIA DA ILHA GRANDE";10397;10558;10298;8723;6706;4682;3786;2850;2211;1593;1047;703;583;64137
"33014 VASSOURAS";12310;12427;11507;9388;8150;6438;5745;4967;4572;3294;2174;1518;1280;83770
"33015 SERRANA";37184;35963;32805;29440;25430;19606;16793;14299;12715;9463;6217;4194;3513;247622
"33016 MACACU-CACERIBU";8076;7605;6689;5633;4928;3716;3159;2657;2543;1899;1208;825;843;49781
"33017 ITAGUAI";12710;11819;11243;9618;7755;5710;4949;3953;3490;2484;1625;1058;890;77304
"33018 RIO DE JANEIRO";870375;887365;841463;759810;639504;493441;436288;375972;334710;241628;159590;105991;95140;6241277
"Total";1166901;1182496;1111612;990560;830544;639674;561489;481623;428777;310227;205359;137211;122692;8169165
