"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";16427;13928;14391;14297;12332;10499;8277;7027;6108;5209;4413;3397;1975;118280
"33002 SANTO ANTONIO DE PADUA";10511;9104;9326;9263;8155;6751;5767;4964;4258;3498;2966;2378;1419;78360
"33003 CAMPOS DOS GOYTACAZES";47939;40182;40794;41196;36143;29137;24349;19722;17111;13882;10969;7905;4955;334284
"33004 MACAE";16216;14513;14481;15047;13123;9819;7359;5293;4437;3325;2648;1936;1177;109374
"33005 TRES RIOS";12807;11328;11790;11481;10645;8809;7085;5488;4719;3784;3143;2334;1342;94755
"33006 CANTAGALO-CORDEIRO";5388;4591;4776;4492;4029;3411;2796;2254;1831;1620;1265;1083;612;38148
"33007 NOVA FRIBURGO";20305;18173;18502;18143;16337;13790;11179;8663;6839;5718;4902;3678;1971;148200
"33008 SANTA MARIA MADALENA";2464;2161;2230;2192;1898;1633;1361;1209;1016;895;711;552;354;18676
"33009 BACIA DE SAO JOAO";7472;6626;6507;6196;5343;4258;3423;2590;2285;1803;1441;1015;584;49543
"33010 LAGOS";34329;31430;31517;30882;26631;20822;17024;13548;11442;8827;6539;4579;2479;240049
"33011 VALE DO PARAIBA FLUMINENSE";57519;50214;50255;52444;48603;39622;30211;21864;18089;14305;11344;8417;3919;406806
"33012 BARRA DO PIRAI";14340;12437;12636;13234;12099;10179;8335;6403;5476;4568;3751;2836;1620;107914
"33013 BAIA DA ILHA GRANDE";14774;12668;12280;11823;10844;8272;6259;4460;3386;2404;1770;1347;742;91029
"33014 VASSOURAS";12742;11772;12124;12249;10970;8902;7359;5852;5030;4256;3511;2582;1383;98732
"33015 SERRANA";39404;36249;36497;35243;31959;27370;22944;17710;14871;12098;9912;7420;3997;295674
"33016 MACACU-CACERIBU";9425;8309;7988;7550;6730;5568;4568;3447;2863;2356;1967;1447;802;63020
"33017 ITAGUAI";16334;14400;13843;12994;11967;9737;7718;5709;4773;3642;2850;1953;1030;106950
"33018 RIO DE JANEIRO";976623;893865;852988;843792;791110;675570;553566;423579;365485;300995;249402;184433;97579;7208987
"Total";1315019;1191950;1152925;1142518;1058918;894149;729580;559782;480019;393185;323504;239292;127940;9608781
