"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";15221;15823;15913;14989;14079;14424;13518;11436;9335;7116;5352;3979;5139;146324
"33002 SANTO ANTONIO DE PADUA";9219;9429;9657;9246;8824;9011;8564;7203;6018;4870;3692;2754;3512;91999
"33003 CAMPOS DOS GOYTACAZES";49612;50144;49579;44821;40952;41018;38141;31946;25213;19154;14272;10346;11654;426852
"33004 MACAE";24815;27605;27598;23307;19389;18207;16261;12722;9094;6268;4267;2948;3250;195731
"33005 TRES RIOS";12439;12579;12365;11691;11154;11245;10552;9152;7285;5478;3899;2836;3301;113976
"33006 CANTAGALO-CORDEIRO";4818;4918;5037;4735;4568;4563;4181;3589;3012;2332;1711;1240;1596;46300
"33007 NOVA FRIBURGO";17937;18655;19125;18328;17352;17525;16315;14177;11567;8767;6298;4517;5677;176240
"33008 SANTA MARIA MADALENA";2204;2198;2221;2162;2134;2179;2025;1754;1427;1099;861;650;792;21706
"33009 BACIA DE SAO JOAO";14550;15850;16632;15170;13184;12207;10757;8682;6464;4385;3043;2100;2243;125267
"33010 LAGOS";45747;45153;45648;43085;40165;39968;37554;31705;25162;18913;13610;9341;9453;405504
"33011 VALE DO PARAIBA FLUMINENSE";55133;57948;58029;53119;48960;49843;48567;41814;32271;22947;15763;11431;12878;508703
"33012 BARRA DO PIRAI";13623;13865;13827;12980;12245;12708;12451;10806;8677;6567;4775;3522;4371;130417
"33013 BAIA DA ILHA GRANDE";18429;19387;20211;18385;15860;14607;12866;10593;7708;5363;3455;2241;2333;151438
"33014 VASSOURAS";13525;13354;13172;12530;12310;12496;11672;9740;7680;5937;4363;3235;3858;123872
"33015 SERRANA";38498;38184;38277;36980;35484;35126;32227;27858;23109;17996;13054;9537;11121;357451
"33016 MACACU-CACERIBU";9112;9224;9326;9023;8340;7834;7116;5971;4787;3554;2558;1842;2159;80846
"33017 ITAGUAI";19951;20219;19873;18515;16774;15653;14199;12170;9301;6581;4485;3074;3138;163933
"33018 RIO DE JANEIRO";932628;979100;999891;930207;844699;811480;766049;670494;540296;404878;294053;220739;265336;8659850
"Total";1297461;1353635;1376381;1279273;1166473;1130094;1063015;921812;738406;552205;399511;296332;351811;11926409
