"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";15656;15890;15790;14326;14330;14309;12579;10809;8586;6609;5111;3798;4771;142564
"33002 SANTO ANTONIO DE PADUA";9349;9625;9633;8987;8952;9050;7971;6801;5713;4530;3519;2620;3240;89990
"33003 CAMPOS DOS GOYTACAZES";49794;50254;48258;42472;41453;40630;36301;29602;23592;17860;13909;9614;10745;414484
"33004 MACAE";24796;27390;25768;21131;19015;17926;15199;11392;8202;5605;4057;2712;2988;186181
"33005 TRES RIOS";12686;12508;12295;11334;11463;11118;10222;8531;6851;4973;3761;2668;3039;111449
"33006 CANTAGALO-CORDEIRO";4865;5059;4939;4627;4667;4469;3929;3393;2815;2137;1617;1165;1485;45167
"33007 NOVA FRIBURGO";18391;18996;19249;17715;17797;17314;15688;13385;10664;7965;5869;4264;5214;172511
"33008 SANTA MARIA MADALENA";2214;2211;2228;2131;2176;2129;1941;1667;1314;1048;837;623;730;21249
"33009 BACIA DE SAO JOAO";13962;15482;15608;13653;12328;11339;9761;7759;5697;3906;2901;1870;2044;116310
"33010 LAGOS";43970;44711;44472;40745;39398;38466;34469;28426;22796;16947;12589;8209;8268;383466
"33011 VALE DO PARAIBA FLUMINENSE";56678;58850;56872;50692;49604;50603;47122;38796;29249;20196;14991;10674;11607;495934
"33012 BARRA DO PIRAI";13865;13933;13693;12452;12463;12918;12007;10086;8049;5976;4565;3328;4026;127361
"33013 BAIA DA ILHA GRANDE";18069;19447;19572;16940;15516;13865;12289;9485;6968;4647;3164;1981;2117;144060
"33014 VASSOURAS";13401;13246;12825;12284;12543;12407;11043;8927;7209;5453;4184;3074;3522;120118
"33015 SERRANA";38445;38187;38231;36099;36178;34455;30885;26185;21906;16315;12550;8834;10170;348440
"33016 MACACU-CACERIBU";9165;9223;9313;8783;8152;7692;6723;5592;4408;3236;2435;1723;1981;78426
"33017 ITAGUAI";19844;19740;19329;17529;16282;14920;13651;11116;8495;5867;4269;2784;2836;156662
"33018 RIO DE JANEIRO";946929;1002274;988981;894128;838363;809676;750618;635270;506008;369057;287626;209691;244647;8483268
"Total";1312079;1377026;1357056;1226028;1160680;1123286;1032398;867222;688522;502327;387954;279632;323430;11637640
