"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";16108;16068;15365;14038;14458;13897;11810;10040;7881;6185;4911;3660;4322;138743
"33002 SANTO ANTONIO DE PADUA";9670;9869;9464;8903;9058;8874;7488;6407;5363;4257;3358;2510;2942;88163
"33003 CAMPOS DOS GOYTACAZES";50393;50131;46187;41115;41675;39623;34086;27477;21865;16780;13357;9082;9755;401526
"33004 MACAE";24314;25981;23338;19321;18458;17125;13864;10152;7269;5078;3786;2526;2694;173906
"33005 TRES RIOS";12850;12556;12036;11214;11569;10935;9769;7941;6300;4600;3597;2547;2759;108673
"33006 CANTAGALO-CORDEIRO";4987;5175;4825;4595;4668;4336;3724;3189;2598;1964;1540;1102;1350;44053
"33007 NOVA FRIBURGO";18890;19378;18985;17501;17995;16978;14986;12539;9766;7287;5528;4088;4675;168596
"33008 SANTA MARIA MADALENA";2306;2263;2200;2125;2197;2066;1840;1558;1224;998;812;596;665;20850
"33009 BACIA DE SAO JOAO";13402;14563;14033;12177;11353;10283;8618;6771;4898;3469;2671;1694;1801;105733
"33010 LAGOS";42885;43677;42241;38699;38325;36380;31214;25349;20214;15101;11409;7279;7107;359880
"33011 VALE DO PARAIBA FLUMINENSE";58079;59082;54954;49404;50386;50373;44843;35620;26179;18311;14186;10024;10265;481706
"33012 BARRA DO PIRAI";14119;14049;13346;12231;12717;12829;11425;9398;7371;5526;4364;3175;3619;124169
"33013 BAIA DA ILHA GRANDE";17888;19109;18301;15685;14890;13157;11375;8457;6157;4083;2866;1780;1880;135628
"33014 VASSOURAS";13428;13183;12513;12163;12627;12093;10355;8258;6664;5070;4016;2945;3161;116476
"33015 SERRANA";38622;38534;37768;35689;36250;33592;29525;24723;20325;15046;11948;8346;9133;339501
"33016 MACACU-CACERIBU";9287;9328;9126;8518;7980;7448;6322;5213;4018;2977;2312;1641;1785;75955
"33017 ITAGUAI";19553;19284;18392;16584;15671;14236;12770;10071;7590;5293;3981;2573;2520;148518
"33018 RIO DE JANEIRO";960239;1010687;963128;866708;835481;801825;724174;598614;467359;345058;279005;201864;220885;8275027
"Total";1327020;1382917;1316202;1186670;1155758;1106050;988188;811777;633041;467083;373647;267432;291318;11307103
