"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";16894;16380;14246;14339;14389;12743;10904;8695;6946;5773;4628;3540;3594;133071
"33002 SANTO ANTONIO DE PADUA";10492;10203;9029;9131;9128;8234;6910;5837;4811;4010;3124;2393;2507;85809
"33003 CAMPOS DOS GOYTACAZES";52168;49218;41954;41087;41416;36959;30195;24695;19279;15736;12168;8620;8300;381795
"33004 MACAE";22995;21847;18779;17374;17258;15056;11445;8448;5867;4573;3280;2326;2239;151487
"33005 TRES RIOS";13097;12691;11368;11536;11365;10501;8888;7122;5354;4313;3292;2452;2361;104340
"33006 CANTAGALO-CORDEIRO";5315;5279;4607;4711;4506;4054;3478;2874;2261;1761;1445;1031;1136;42458
"33007 NOVA FRIBURGO";19794;19863;18029;17983;17825;16178;13799;11223;8517;6572;5128;3953;3831;162695
"33008 SANTA MARIA MADALENA";2577;2371;2138;2178;2186;1942;1671;1367;1142;935;771;559;577;20414
"33009 BACIA DE SAO JOAO";12687;12209;10819;10150;9652;8343;6662;5187;3699;2933;2178;1512;1399;87430
"33010 LAGOS";42482;40865;37272;36505;36044;32127;26020;21086;16193;12728;9364;6223;5525;322434
"33011 VALE DO PARAIBA FLUMINENSE";60234;57963;50908;49788;51532;48245;40145;30729;21743;17060;12863;9248;8335;458793
"33012 BARRA DO PIRAI";14541;14191;12539;12501;13089;12166;10338;8433;6339;5151;4060;3021;2991;119360
"33013 BAIA DA ILHA GRANDE";17975;17842;15453;14272;13458;12065;9489;7056;4896;3534;2396;1570;1519;121525
"33014 VASSOURAS";13754;13064;12098;12315;12449;11193;9200;7497;5796;4726;3761;2812;2640;111305
"33015 SERRANA";39408;39259;36414;36225;35238;31795;27424;22919;17559;13987;10846;7965;7626;326665
"33016 MACACU-CACERIBU";9607;9564;8574;8189;7706;6884;5707;4657;3453;2724;2114;1579;1498;72256
"33017 ITAGUAI";18912;18467;16387;15436;14504;13199;10939;8547;6140;4718;3435;2384;2065;135133
"33018 RIO DE JANEIRO";982976;992850;901249;849358;832661;776079;667536;543279;406762;332129;261180;195649;185003;7926711
"Total";1355908;1354126;1221863;1163078;1144406;1057763;900750;729651;546757;443363;346033;256837;243146;10763681
