"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";13948;14685;15507;15787;15684;14330;14533;14412;12128;9842;7299;5037;6735;159927
"33002 SANTO ANTONIO DE PADUA";8081;8827;9066;9417;9402;8842;8935;9002;7604;6229;4942;3510;4690;98547
"33003 CAMPOS DOS GOYTACAZES";46940;49663;50083;50012;47325;41631;40462;38737;33372;25556;18712;12716;15896;471105
"33004 MACAE";28154;28540;29466;29784;26013;20387;17953;16533;13494;9554;6392;3936;4493;234699
"33005 TRES RIOS";11869;12184;12398;12205;11903;10908;11010;10603;9402;7394;5515;3598;4479;123468
"33006 CANTAGALO-CORDEIRO";4530;4698;4728;4974;4822;4498;4585;4428;3824;3144;2408;1645;2128;50412
"33007 NOVA FRIBURGO";16401;17204;17817;18372;18566;17122;17192;16552;14784;12329;9270;6222;7784;189615
"33008 SANTA MARIA MADALENA";1872;2118;2158;2168;2185;2159;2210;2070;1801;1480;1088;778;1044;23131
"33009 BACIA DE SAO JOAO";17960;18362;18459;19063;18422;16003;14113;12256;9783;6973;4584;2827;3245;162050
"33010 LAGOS";49342;50931;48111;47945;47672;44754;44509;43456;37504;28546;20815;13898;15670;493153
"33011 VALE DO PARAIBA FLUMINENSE";51876;53711;55827;57702;55497;49197;47684;47841;43449;34818;24849;15396;18552;556399
"33012 BARRA DO PIRAI";13100;13321;13591;13749;13537;12322;12192;12448;11306;9120;6810;4547;5899;141942
"33013 BAIA DA ILHA GRANDE";21395;20950;20582;21167;20221;16954;15282;13322;11340;8386;5799;3461;3555;182414
"33014 VASSOURAS";12521;13788;13770;13637;13010;12252;12304;12050;10465;8044;6041;4099;5275;137256
"33015 SERRANA";37233;38580;38067;37740;37407;34857;34749;33031;29200;23728;18479;12374;15622;391067
"33016 MACACU-CACERIBU";8852;9180;9229;9223;9222;8628;7912;7339;6299;5020;3668;2420;2980;89972
"33017 ITAGUAI";21412;21447;21452;20902;20166;18223;16713;14839;12910;9717;6777;4192;4632;193382
"33018 RIO DE JANEIRO";941594;937224;939134;975828;954987;854294;785918;740676;667888;544378;406673;267264;352249;9368107
"Total";1307080;1315413;1319445;1359675;1326041;1187361;1108256;1049595;936553;754258;560121;367920;474928;13066646
