"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";16867;14877;14058;14429;13223;11245;9213;7423;6271;5370;4404;3622;2509;123511
"33002 SANTO ANTONIO DE PADUA";10698;9536;9064;9283;8600;7257;6146;5168;4366;3661;2959;2496;1784;81018
"33003 CAMPOS DOS GOYTACAZES";50339;43490;40357;41378;38459;31935;26203;21079;17505;14460;11144;8566;6061;350976
"33004 MACAE";19005;16893;15536;15876;14770;11694;8716;6276;4810;3767;2809;2183;1535;123870
"33005 TRES RIOS";13075;11838;11429;11605;10970;9431;7693;5957;4808;3951;3120;2494;1686;98057
"33006 CANTAGALO-CORDEIRO";5442;4859;4639;4619;4222;3631;3038;2429;1944;1647;1307;1109;789;39675
"33007 NOVA FRIBURGO";20395;18827;18022;18234;17006;14641;12075;9388;7286;5950;4872;3970;2583;153249
"33008 SANTA MARIA MADALENA";2561;2248;2164;2205;2021;1739;1464;1230;1047;902;720;578;428;19307
"33009 BACIA DE SAO JOAO";9634;8584;7819;7624;6949;5687;4504;3408;2699;2200;1664;1263;859;62894
"33010 LAGOS";38019;34793;32999;33139;30379;24874;20020;15850;12762;10084;7331;5387;3477;269114
"33011 VALE DO PARAIBA FLUMINENSE";59464;52927;49546;51698;50228;42803;33585;24442;18819;15207;11615;9105;5387;424826
"33012 BARRA DO PIRAI";14605;13097;12378;13041;12618;10888;8997;6994;5639;4741;3785;3044;2071;111898
"33013 BAIA DA ILHA GRANDE";16269;14547;13104;12725;11808;9679;7330;5263;3810;2785;1938;1488;1000;101746
"33014 VASSOURAS";13317;12217;11954;12362;11606;9701;7951;6328;5184;4391;3533;2798;1807;103149
"33015 SERRANA";39868;37385;35966;35895;33333;28914;24476;19307;15459;12688;10002;7993;5219;306505
"33016 MACACU-CACERIBU";9631;8808;8081;7806;7127;6023;4946;3809;3002;2465;1975;1571;1034;66278
"33017 ITAGUAI";17480;15885;14507;13924;12932;11015;8789;6573;5102;4000;2981;2218;1376;116782
"33018 RIO DE JANEIRO";991192;926904;856541;848042;812220;712667;592111;458193;371049;311161;248373;198189;127094;7453736
"Total";1347861;1247715;1158164;1153885;1098471;953824;787257;609117;491562;409430;324532;258074;166699;10006591
