"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";16646;16331;14612;14191;14432;13161;11217;9147;7229;5885;4721;3560;3805;134937
"33002 SANTO ANTONIO DE PADUA";10226;10135;9169;9027;9117;8468;7110;6031;4976;4074;3200;2418;2632;86583
"33003 CAMPOS DOS GOYTACAZES";51609;49701;43342;40956;41556;37943;31520;25631;20060;16010;12556;8725;8710;388319
"33004 MACAE";23431;23295;20273;17953;17671;15777;12257;9015;6307;4719;3446;2378;2367;158889
"33005 TRES RIOS";13029;12690;11584;11390;11446;10671;9191;7399;5647;4389;3393;2468;2473;105770
"33006 CANTAGALO-CORDEIRO";5218;5262;4676;4657;4566;4160;3563;2979;2365;1820;1474;1049;1197;42986
"33007 NOVA FRIBURGO";19510;19775;18341;17762;17906;16487;14209;11667;8900;6782;5258;3975;4077;164649
"33008 SANTA MARIA MADALENA";2489;2343;2158;2154;2192;1988;1728;1430;1166;952;784;567;602;20553
"33009 BACIA DE SAO JOAO";12925;13030;11869;10780;10223;9004;7312;5714;4081;3095;2339;1563;1519;93454
"33010 LAGOS";42632;41935;38892;37096;36837;33619;27764;22510;17460;13459;10035;6538;5999;334776
"33011 VALE DO PARAIBA FLUMINENSE";59560;58529;52231;49487;51216;49080;41752;32374;23130;17401;13295;9451;8899;466405
"33012 BARRA DO PIRAI";14413;14195;12805;12370;12983;12422;10712;8757;6656;5254;4158;3054;3171;120950
"33013 BAIA DA ILHA GRANDE";17950;18322;16381;14683;13944;12453;10124;7523;5292;3700;2548;1631;1624;126175
"33014 VASSOURAS";13661;13148;12230;12223;12526;11527;9594;7753;6061;4820;3846;2843;2788;113020
"33015 SERRANA";39172;39162;36852;35927;35625;32481;28155;23533;18411;14281;11206;8048;8055;330908
"33016 MACACU-CACERIBU";9501;9523;8755;8270;7807;7091;5917;4844;3626;2796;2179;1591;1579;73479
"33017 ITAGUAI";19133;18798;17037;15759;14905;13573;11556;9055;6597;4887;3614;2434;2197;139545
"33018 RIO DE JANEIRO";976121;1002472;921511;852282;834681;786751;687136;561973;425306;334952;266935;196623;195161;8041904
"Total";1347226;1368646;1252718;1166967;1149633;1076656;930817;757335;573270;449276;354987;258916;256855;10943302
