"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";15038;14267;14388;12798;11006;8734;7138;6293;5563;5083;3401;2217;2347;108273
"33002 SANTO ANTONIO DE PADUA";9286;8790;8960;7893;6887;5793;4939;4276;3730;3226;2285;1553;1665;69283
"33003 CAMPOS DOS GOYTACAZES";43509;39998;41366;37065;30798;25174;20751;17654;15276;12641;8087;5436;5670;303425
"33004 MACAE";13450;12988;14077;12395;10213;7317;5528;4427;3590;2871;1935;1284;1409;91484
"33005 TRES RIOS";11561;11200;11368;10156;8937;7201;5855;4705;4174;3430;2246;1423;1394;83650
"33006 CANTAGALO-CORDEIRO";4994;4657;4670;4099;3638;2944;2492;1984;1737;1411;1055;756;726;35163
"33007 NOVA FRIBURGO";18943;18174;18476;16866;14889;12018;9326;7397;6289;5530;3892;2377;2283;136460
"33008 SANTA MARIA MADALENA";2518;2366;2321;2027;1696;1421;1251;1093;976;870;596;399;434;17968
"33009 BACIA DE SAO JOAO";6306;5652;5494;4979;4065;3181;2431;2078;1732;1489;932;667;643;39649
"33010 LAGOS";27743;26394;27074;23912;19658;15094;12410;9854;8730;6591;4167;2448;2587;186662
"33011 VALE DO PARAIBA FLUMINENSE";50976;48344;52094;48999;42789;32287;23865;18544;16085;12674;8538;5033;4212;364440
"33012 BARRA DO PIRAI";12950;11965;13454;11987;10716;8396;6816;5580;5005;4187;2862;1876;1915;97709
"33013 BAIA DA ILHA GRANDE";11190;10144;10358;9661;8000;5937;4435;3207;2526;1768;1246;764;687;69923
"33014 VASSOURAS";11969;11705;11994;10996;9117;7525;6076;5158;4565;3942;2515;1620;1527;88709
"33015 SERRANA";35687;34522;35045;31295;28415;23551;18493;15006;13094;10750;7581;4719;4444;262602
"33016 MACACU-CACERIBU";8526;7557;7268;6620;5782;4718;3619;2980;2523;2137;1422;910;951;55013
"33017 ITAGUAI";13141;12016;11785;10916;9403;7306;5568;4545;3914;3005;1941;1127;1131;85798
"33018 RIO DE JANEIRO";875387;828481;848033;794636;715981;584197;461475;382881;333412;277669;190033;114913;111508;6518606
"Total";1173174;1109220;1138225;1057300;941990;762794;602468;497662;432921;359274;244734;149522;145533;8614817
