"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";15885;15857;15657;14081;14468;14215;12061;10501;8195;6434;4982;3729;4587;140652
"33002 SANTO ANTONIO DE PADUA";9422;9687;9550;8918;9025;9046;7646;6605;5551;4416;3424;2570;3101;88961
"33003 CAMPOS DOS GOYTACAZES";49926;50095;47361;41546;41727;40329;35238;28441;22736;17432;13703;9310;10287;408131
"33004 MACAE";24824;27183;24748;20178;18846;17744;14615;10738;7744;5340;3942;2613;2857;181372
"33005 TRES RIOS";12794;12425;12198;11220;11626;11028;10020;8224;6620;4781;3687;2600;2906;110129
"33006 CANTAGALO-CORDEIRO";4891;5103;4867;4603;4720;4412;3790;3298;2710;2067;1566;1135;1429;44591
"33007 NOVA FRIBURGO";18635;19079;19205;17516;18033;17163;15313;12992;10187;7658;5640;4165;4979;170565
"33008 SANTA MARIA MADALENA";2220;2211;2210;2128;2198;2098;1889;1624;1253;1035;822;614;698;21000
"33009 BACIA DE SAO JOAO";13689;15250;15041;12986;11913;10886;9234;7310;5305;3712;2826;1768;1944;111864
"33010 LAGOS";43130;44319;43688;39835;39053;37631;32810;26808;21571;16169;12050;7695;7671;372430
"33011 VALE DO PARAIBA FLUMINENSE";57504;59066;56023;49778;49957;50851;46215;37297;27676;19057;14575;10363;10963;489325
"33012 BARRA DO PIRAI";14002;13906;13546;12264;12581;12990;11739;9731;7719;5751;4448;3253;3849;125779
"33013 BAIA DA ILHA GRANDE";17909;19407;19165;16324;15356;13464;11958;8939;6584;4344;3012;1866;2009;140337
"33014 VASSOURAS";13350;13135;12589;12235;12670;12334;10696;8523;6957;5276;4083;3014;3350;118212
"33015 SERRANA";38449;38027;38018;35868;36548;34030;30094;25354;21256;15667;12270;8539;9684;343804
"33016 MACACU-CACERIBU";9201;9184;9264;8715;8062;7602;6500;5405;4209;3115;2368;1675;1890;77190
"33017 ITAGUAI";19815;19424;18969;17142;16047;14519;13326;10595;8077;5581;4149;2657;2685;152986
"33018 RIO DE JANEIRO";954936;1009625;978737;881349;835650;806655;739903;617793;487789;355545;283875;205511;234115;8391483
"Total";1320582;1382983;1340836;1206686;1158480;1116997;1013047;840178;662139;483380;381422;273077;309004;11488811
