"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";14756;15299;15837;15797;14593;14237;14503;13005;10737;8416;6146;4384;5897;153607
"33002 SANTO ANTONIO DE PADUA";8867;9095;9431;9540;9002;8813;9068;8175;6731;5556;4244;3047;4073;95642
"33003 CAMPOS DOS GOYTACAZES";49403;49809;50407;48607;43077;40801;40178;36049;29158;22138;16021;11411;13666;450725
"33004 MACAE";26504;27749;29410;27380;22015;18787;17510;15049;11241;7801;5121;3363;3835;215765
"33005 TRES RIOS";12363;12408;12414;12164;11287;11047;10955;10092;8343;6452;4555;3129;3862;119071
"33006 CANTAGALO-CORDEIRO";4779;4731;4963;4942;4613;4541;4502;4024;3411;2744;2013;1400;1840;48503
"33007 NOVA FRIBURGO";17370;17850;18541;18866;17644;17263;17073;15574;13293;10548;7581;5162;6651;183416
"33008 SANTA MARIA MADALENA";2120;2162;2192;2196;2140;2180;2155;1925;1632;1271;949;701;917;22540
"33009 BACIA DE SAO JOAO";16494;16798;17846;17739;15683;13904;12544;10558;8117;5591;3644;2443;2715;144076
"33010 LAGOS";49313;47363;46855;46677;43592;42133;42001;38181;30967;23397;16700;11418;12272;450869
"33011 VALE DO PARAIBA FLUMINENSE";54127;55488;57897;56848;51116;48366;49056;46242;38338;28860;19318;12891;15575;534122
"33012 BARRA DO PIRAI";13562;13550;13812;13677;12639;12250;12617;11951;10035;7831;5608;3910;5098;136540
"33013 BAIA DA ILHA GRANDE";20198;19677;20616;20523;17759;15645;14102;12252;9532;6836;4446;2751;2871;167208
"33014 VASSOURAS";13538;13590;13536;13159;12424;12331;12300;11157;8976;6940;5064;3559;4546;131120
"33015 SERRANA";38868;38213;38037;37999;35943;35032;34079;30839;26049;21039;15318;10704;13234;375354
"33016 MACACU-CACERIBU";9193;9171;9265;9297;8831;8142;7613;6727;5556;4273;3012;2072;2544;85696
"33017 ITAGUAI";21024;20778;20749;20094;18391;16845;15417;13764;11153;8110;5411;3556;3833;179125
"33018 RIO DE JANEIRO";946549;940917;980318;979507;893046;817894;779730;720267;610084;477235;337460;237849;307909;9028765
"Total";1319028;1314648;1362126;1355012;1233795;1140211;1095403;1005831;843353;655038;462611;323750;411338;12522144
