"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";14708;14180;12250;10590;8792;7207;6327;5701;5378;4053;2740;1952;1890;95768
"33002 SANTO ANTONIO DE PADUA";9663;9118;7946;6888;6082;5019;4536;3847;3547;2895;2009;1457;1343;64350
"33003 CAMPOS DOS GOYTACAZES";43498;41666;36725;30657;26109;20997;18761;15668;13873;9969;7131;4982;4594;274630
"33004 MACAE";11445;12014;11107;8829;6881;5113;4317;3430;3019;2103;1544;1070;1033;71905
"33005 TRES RIOS";12100;11678;10521;9015;7683;5886;5235;4345;3913;2716;1860;1276;1133;77361
"33006 CANTAGALO-CORDEIRO";5011;4688;4034;3598;3094;2529;2123;1805;1572;1281;908;596;529;31768
"33007 NOVA FRIBURGO";19069;18606;17208;14921;12953;9779;8115;6578;6198;4593;3036;2088;1694;124838
"33008 SANTA MARIA MADALENA";2652;2379;2072;1757;1468;1307;1134;1020;980;752;503;378;320;16722
"33009 BACIA DE SAO JOAO";4770;4367;3830;3089;2541;1894;1743;1499;1333;1019;711;492;422;27710
"33010 LAGOS";23079;22482;20193;16644;13596;10541;8806;7397;6225;4436;2792;1947;1814;139952
"33011 VALE DO PARAIBA FLUMINENSE";49594;51188;47872;41313;32726;23905;19668;16493;13915;10045;6156;3760;2933;319568
"33012 BARRA DO PIRAI";13105;13388;12061;10320;8593;6861;6050;5214;4643;3475;2359;1626;1448;89143
"33013 BAIA DA ILHA GRANDE";9730;9791;9444;7955;6128;4306;3475;2634;2038;1473;962;647;537;59120
"33014 VASSOURAS";12014;11905;10931;8928;7825;6207;5557;4769;4360;3160;2075;1441;1213;80385
"33015 SERRANA";36106;34604;31383;27983;24267;18849;16227;13720;12070;9012;5917;3953;3293;237384
"33016 MACACU-CACERIBU";7857;7299;6384;5372;4718;3593;3077;2577;2428;1829;1170;796;801;47901
"33017 ITAGUAI";12100;11157;10483;8909;7235;5364;4657;3721;3260;2338;1516;985;824;72549
"33018 RIO DE JANEIRO";859055;864428;810191;725494;615857;480115;425698;362584;318835;231132;152813;101245;90217;6037664
"Total";1145556;1144938;1064635;942262;796548;619472;545506;463002;407587;296281;196202;130691;116038;7868718
