"Microrregião IBGE";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 anos e mais";"Total"
"33001 ITAPERUNA";14327;12875;10754;9350;8106;6862;6115;5236;4794;3728;2587;1789;1571;88094
"33002 SANTO ANTONIO DE PADUA";9227;8201;7146;6261;5628;4716;4307;3623;3227;2731;1861;1307;1131;59366
"33003 CAMPOS DOS GOYTACAZES";42769;37557;32136;27293;24139;19700;17585;14139;12419;9449;6657;4442;3980;252265
"33004 MACAE";10415;10112;9060;7233;5858;4479;3849;3023;2645;1950;1415;955;880;61874
"33005 TRES RIOS";11965;10858;9413;7967;6955;5505;4944;3943;3406;2468;1671;1136;986;71217
"33006 CANTAGALO-CORDEIRO";4750;4216;3599;3185;2749;2305;1968;1641;1420;1168;787;526;455;28769
"33007 NOVA FRIBURGO";17944;16729;14913;12666;10986;8613;7504;5961;5299;4097;2674;1782;1432;110600
"33008 SANTA MARIA MADALENA";2601;2188;1878;1653;1417;1285;1165;992;894;768;492;348;274;15955
"33009 BACIA DE SAO JOAO";4293;3733;3179;2595;2248;1744;1599;1328;1180;920;642;416;351;24228
"33010 LAGOS";21192;19553;17164;14189;11873;9216;7753;6348;5282;3901;2487;1720;1556;122234
"33011 VALE DO PARAIBA FLUMINENSE";50901;48675;42615;35235;28843;22055;18524;14974;12013;8485;5137;3170;2479;293106
"33012 BARRA DO PIRAI";13411;12499;10877;9191;7903;6519;5822;4845;4153;3158;2094;1434;1241;83147
"33013 BAIA DA ILHA GRANDE";9028;8760;8055;6609;5131;3715;2972;2310;1773;1298;824;553;464;51492
"33014 VASSOURAS";11873;10954;9708;7970;7262;5848;5313;4414;3931;2913;1869;1280;1058;74393
"33015 SERRANA";35121;32507;28826;25013;22032;17632;15474;12739;10716;8114;5309;3400;2762;219645
"33016 MACACU-CACERIBU";7557;6664;5695;4776;4261;3380;2977;2449;2168;1696;1105;741;700;44169
"33017 ITAGUAI";11457;10222;9114;7525;6313;4817;4214;3372;2861;2118;1325;851;696;64885
"33018 RIO DE JANEIRO";874114;837957;750261;648919;570147;462271;413964;336622;281233;207237;137493;90098;77740;5688056
"Total";1152945;1094260;974393;837630;731851;590662;526049;427959;359414;266199;176429;115948;99756;7353495
