"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";15425;15868;15877;14641;14195;14377;13067;11128;8965;6842;5227;3884;4957;144453
"33002 SANTO ANTONIO DE PADUA";9277;9540;9670;9107;8882;9039;8279;7004;5869;4687;3603;2685;3375;91017
"33003 CAMPOS DOS GOYTACAZES";49683;50243;48998;43597;41173;40850;37267;30781;24414;18454;14076;9969;11202;420707
"33004 MACAE";24786;27524;26723;22190;19186;18076;15747;12061;8651;5920;4157;2827;3119;190967
"33005 TRES RIOS";12547;12554;12352;11502;11301;11190;10402;8845;7071;5211;3826;2749;3169;112719
"33006 CANTAGALO-CORDEIRO";4838;4997;4992;4677;4615;4519;4060;3489;2915;2229;1662;1200;1543;45736
"33007 NOVA FRIBURGO";18151;18840;19216;17997;17563;17433;16021;13785;11120;8344;6080;4387;5446;174383
"33008 SANTA MARIA MADALENA";2208;2208;2232;2143;2153;2155;1984;1712;1371;1071;849;636;761;21483
"33009 BACIA DE SAO JOAO";14243;15678;16150;14391;12748;11779;10270;8222;6083;4132;2970;1983;2143;120792
"33010 LAGOS";44826;44964;45136;41866;39756;39244;36055;30069;23988;17881;13089;8765;8861;394500
"33011 VALE DO PARAIBA FLUMINENSE";55863;58458;57549;51837;49246;50253;47904;40314;30773;21513;15366;11038;12244;502358
"33012 BARRA DO PIRAI";13737;13918;13780;12703;12347;12824;12245;10447;8367;6254;4665;3421;4198;128906
"33013 BAIA DA ILHA GRANDE";18233;19435;19925;17640;15677;14243;12593;10042;7340;4990;3308;2108;2226;147760
"33014 VASSOURAS";13452;13311;13018;12394;12418;12460;11367;9336;7449;5680;4270;3150;3691;121996
"33015 SERRANA";38448;38225;38310;36499;35807;34813;31596;27029;22517;17108;12791;9175;10649;352967
"33016 MACACU-CACERIBU";9134;9231;9336;8893;8240;7767;6927;5782;4601;3385;2495;1781;2070;79642
"33017 ITAGUAI";19885;19997;19629;18001;16516;15297;13943;11643;8902;6207;4374;2927;2988;160309
"33018 RIO DE JANEIRO";939120;991587;996100;911163;840894;811095;759316;653071;523362;385888;290572;214974;255037;8572179
"Total";1303856;1366578;1368993;1251241;1162717;1127414;1049043;894760;713758;525796;393380;287659;337679;11782874
