"Microrregião IBGE";"De 20 a 24 anos";"De 25 a 29 anos";"De 30 a 34 anos";"De 35 a 39 anos";"De 40 a 44 anos";"De 45 a 49 anos";"De 50 a 54 anos";"De 55 a 59 anos";"De 60 a 64 anos";"De 65 a 69 anos";"De 70 a 74 anos";"De 75 a 79 anos";"De 80 anos ou mais";"Total"
"33001 ITAPERUNA";17084;16358;13944;14506;14318;12290;10598;8228;6724;5648;4562;3540;3357;131157
"33002 SANTO ANTONIO DE PADUA";10718;10232;8929;9250;9120;7977;6715;5636;4688;3937;3063;2379;2367;85011
"33003 CAMPOS DOS GOYTACAZES";52567;48562;40745;41262;41188;35871;28887;23713;18667;15420;11839;8558;7830;375109
"33004 MACAE";22463;20321;17353;16797;16799;14285;10635;7860;5474;4413;3131;2284;2092;143907
"33005 TRES RIOS";13133;12645;11199;11695;11256;10300;8590;6836;5107;4227;3208;2444;2232;102872
"33006 CANTAGALO-CORDEIRO";5406;5277;4558;4772;4435;3938;3395;2762;2178;1697;1421;1018;1067;41924
"33007 NOVA FRIBURGO";20015;19888;17797;18228;17708;15824;13399;10760;8211;6346;5024;3949;3554;160703
"33008 SANTA MARIA MADALENA";2658;2390;2126;2207;2175;1890;1612;1299;1129;918;763;551;548;20266
"33009 BACIA DE SAO JOAO";12389;11338;9798;9508;9049;7649;6006;4647;3346;2757;2026;1466;1267;81246
"33010 LAGOS";42190;39636;35795;35928;35160;30541;24283;19617;15060;11954;8736;5932;5005;309837
"33011 VALE DO PARAIBA FLUMINENSE";60764;57182;49810;50145;51745;47282;38570;29036;20547;16680;12495;9088;7701;451045
"33012 BARRA DO PIRAI";14624;14136;12330;12648;13168;11880;9972;8094;6077;5036;3982;3001;2785;117733
"33013 BAIA DA ILHA GRANDE";17943;17297;14579;13860;12937;11639;8860;6576;4539;3356;2252;1517;1400;116755
"33014 VASSOURAS";13823;12925;12015;12422;12342;10835;8812;7226;5582;4623;3700;2798;2471;109574
"33015 SERRANA";39524;39220;36138;36569;34781;31025;26715;22269;16863;13665;10538;7923;7138;322368
"33016 MACACU-CACERIBU";9681;9581;8431;8115;7590;6660;5499;4462;3308;2645;2061;1575;1403;71011
"33017 ITAGUAI";18632;18066;15798;15118;14064;12782;10327;8019;5737;4536;3275;2347;1915;130616
"33018 RIO DE JANEIRO";987013;979847;884957;847315;828833;763261;648422;523643;391851;328554;256682;195728;173406;7809512
"Total";1360627;1334901;1196302;1160345;1136668;1035929;871297;700683;525088;436412;338758;256098;227538;10580646
