"Microrregião IBGE";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"33001 ITAPERUNA";25;6;6;18;53;81;130;242;319;753;6;1639
"33002 SANTO ANTONIO DE PADUA";19;1;5;21;39;50;118;159;192;509;1;1114
"33003 CAMPOS DOS GOYTACAZES";171;16;17;163;192;286;502;761;970;1892;1;4971
"33004 MACAE";57;5;8;91;100;99;185;240;286;538;6;1615
"33005 TRES RIOS";38;5;6;18;38;74;129;218;239;440;1;1206
"33006 CANTAGALO-CORDEIRO";22;2;1;15;19;28;58;74;99;232;-;550
"33007 NOVA FRIBURGO";26;1;6;37;51;82;172;298;396;849;1;1919
"33008 SANTA MARIA MADALENA";3;1;1;9;8;12;19;39;35;88;-;215
"33009 BACIA DE SAO JOAO";35;6;9;68;50;89;119;197;196;417;-;1186
"33010 LAGOS";109;25;23;194;182;239;427;682;900;1559;6;4346
"33011 VALE DO PARAIBA FLUMINENSE";77;12;29;112;154;247;520;906;1111;2020;-;5188
"33012 BARRA DO PIRAI";23;4;2;38;46;75;149;267;313;621;5;1543
"33013 BAIA DA ILHA GRANDE";40;3;6;102;81;73;124;217;249;370;2;1267
"33014 VASSOURAS";25;3;5;29;42;53;154;244;304;602;1;1462
"33015 SERRANA";87;8;13;55;92;174;407;644;868;1720;2;4070
"33016 MACACU-CACERIBU";14;3;4;16;32;55;72;162;147;308;2;815
"33017 ITAGUAI";52;3;5;85;80;129;201;324;343;565;3;1790
"33018 RIO DE JANEIRO";2147;331;381;3082;3205;4524;8503;15450;18690;40071;207;96591
"Total";2970;435;527;4153;4464;6370;11989;21124;25657;53554;244;131487
