"Microrregião IBGE";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"33001 ITAPERUNA";33;5;11;38;41;70;176;283;393;851;1;1902
"33002 SANTO ANTONIO DE PADUA";19;3;-;23;30;40;102;170;216;536;1;1140
"33003 CAMPOS DOS GOYTACAZES";132;18;32;140;183;277;491;877;1117;2179;1;5447
"33004 MACAE";51;10;14;102;97;114;178;303;331;604;3;1807
"33005 TRES RIOS";34;4;8;38;58;77;123;234;338;593;-;1507
"33006 CANTAGALO-CORDEIRO";10;-;2;4;15;26;44;87;119;267;1;575
"33007 NOVA FRIBURGO";34;5;5;25;46;95;174;303;426;881;-;1994
"33008 SANTA MARIA MADALENA";7;-;1;5;4;8;25;27;58;105;-;240
"33009 BACIA DE SAO JOAO";35;2;5;33;54;70;136;222;287;439;-;1283
"33010 LAGOS";115;15;20;187;195;256;436;802;1084;1817;10;4937
"33011 VALE DO PARAIBA FLUMINENSE";117;15;24;151;199;261;458;980;1286;2347;7;5845
"33012 BARRA DO PIRAI";25;5;5;22;28;76;128;278;336;675;4;1582
"33013 BAIA DA ILHA GRANDE";33;9;12;95;76;97;148;230;277;441;1;1419
"33014 VASSOURAS";24;1;6;30;24;56;139;258;359;640;2;1539
"33015 SERRANA";83;10;17;56;90;193;386;706;977;1987;-;4505
"33016 MACACU-CACERIBU";16;4;6;33;35;41;83;158;192;362;1;931
"33017 ITAGUAI";55;12;10;74;86;116;188;339;465;614;5;1964
"33018 RIO DE JANEIRO";1910;325;348;3405;3550;4665;8225;16351;22086;44018;141;105024
"Total";2733;443;526;4461;4811;6538;11640;22608;30347;59356;178;143641
