"Microrregião IBGE";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"33001 ITAPERUNA";28;4;10;22;49;77;165;261;339;731;2;1688
"33002 SANTO ANTONIO DE PADUA";28;3;3;21;29;46;110;165;216;541;1;1163
"33003 CAMPOS DOS GOYTACAZES";169;27;35;219;212;295;484;802;914;1932;-;5089
"33004 MACAE";62;11;13;82;87;117;184;263;314;578;3;1714
"33005 TRES RIOS";31;7;6;24;46;67;127;230;276;522;1;1337
"33006 CANTAGALO-CORDEIRO";12;3;1;12;17;33;48;95;101;253;1;576
"33007 NOVA FRIBURGO";49;2;3;40;70;78;174;334;381;880;-;2011
"33008 SANTA MARIA MADALENA";3;-;3;9;5;9;22;39;54;119;-;263
"33009 BACIA DE SAO JOAO";38;6;8;81;77;78;121;199;206;444;1;1259
"33010 LAGOS";107;18;20;223;174;227;432;777;885;1700;13;4576
"33011 VALE DO PARAIBA FLUMINENSE";99;18;20;128;190;284;520;951;1092;2116;3;5421
"33012 BARRA DO PIRAI";26;4;5;25;44;61;149;278;344;623;6;1565
"33013 BAIA DA ILHA GRANDE";25;8;15;76;81;91;120;223;242;379;2;1262
"33014 VASSOURAS";37;5;3;36;58;70;165;268;328;606;2;1578
"33015 SERRANA";60;13;18;76;125;199;404;720;926;1906;4;4451
"33016 MACACU-CACERIBU";9;2;8;16;33;47;82;154;190;337;-;878
"33017 ITAGUAI";57;5;14;79;98;116;210;379;398;624;10;1990
"33018 RIO DE JANEIRO";2142;330;414;3646;3479;4562;8696;16320;20379;42701;193;102862
"Total";2982;466;599;4815;4874;6457;12213;22458;27585;56992;242;139683
