"Microrregião IBGE";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"33001 ITAPERUNA";16;2;3;32;63;89;150;247;309;692;3;1606
"33002 SANTO ANTONIO DE PADUA";24;5;7;19;35;48;109;138;203;508;-;1096
"33003 CAMPOS DOS GOYTACAZES";145;24;30;199;221;252;492;713;916;1877;-;4869
"33004 MACAE";57;5;19;87;102;114;197;235;246;473;2;1537
"33005 TRES RIOS";27;5;11;25;46;85;153;204;266;497;1;1320
"33006 CANTAGALO-CORDEIRO";11;1;-;12;19;39;66;94;88;232;-;562
"33007 NOVA FRIBURGO";37;7;8;41;47;108;207;284;352;791;1;1883
"33008 SANTA MARIA MADALENA";7;-;-;6;10;14;15;46;44;98;-;240
"33009 BACIA DE SAO JOAO";29;6;7;46;70;71;110;161;182;324;1;1007
"33010 LAGOS";87;15;35;156;172;227;427;695;808;1424;23;4069
"33011 VALE DO PARAIBA FLUMINENSE";105;11;19;145;188;278;572;865;1026;1900;2;5111
"33012 BARRA DO PIRAI";32;1;5;35;45;84;168;278;288;595;3;1534
"33013 BAIA DA ILHA GRANDE";38;7;12;63;77;76;152;204;199;361;10;1199
"33014 VASSOURAS";22;7;9;22;53;68;148;226;279;556;8;1398
"33015 SERRANA";102;18;24;68;107;196;432;681;819;1689;6;4142
"33016 MACACU-CACERIBU";18;2;7;29;29;56;94;141;158;309;2;845
"33017 ITAGUAI";31;4;10;90;80;129;187;308;310;528;4;1681
"33018 RIO DE JANEIRO";2131;335;474;3026;3442;4797;9045;15271;17947;37786;220;94474
"Total";2919;455;680;4101;4806;6731;12724;20791;24440;50640;286;128573
