"Microrregião IBGE";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"33001 ITAPERUNA";22;3;12;40;45;117;171;330;415;906;-;2061
"33002 SANTO ANTONIO DE PADUA";16;2;3;31;37;59;102;179;287;615;-;1331
"33003 CAMPOS DOS GOYTACAZES";142;16;22;154;186;318;550;1044;1321;2465;-;6218
"33004 MACAE";39;10;4;113;102;125;207;381;448;690;2;2121
"33005 TRES RIOS";24;1;5;27;40;81;182;275;404;604;2;1645
"33006 CANTAGALO-CORDEIRO";10;1;1;7;9;30;54;83;141;261;-;597
"33007 NOVA FRIBURGO";31;3;3;45;49;101;203;373;489;1031;-;2328
"33008 SANTA MARIA MADALENA";3;-;-;4;9;16;24;33;52;126;-;267
"33009 BACIA DE SAO JOAO";24;6;5;71;64;91;142;254;346;588;2;1593
"33010 LAGOS";84;11;20;158;175;247;527;1033;1304;2310;14;5883
"33011 VALE DO PARAIBA FLUMINENSE";90;10;11;179;182;344;566;1197;1625;2539;3;6746
"33012 BARRA DO PIRAI";21;4;3;35;45;76;155;299;376;718;4;1736
"33013 BAIA DA ILHA GRANDE";41;5;10;65;81;94;153;304;373;544;1;1671
"33014 VASSOURAS";18;1;5;32;56;71;150;319;384;770;3;1809
"33015 SERRANA";70;6;16;69;116;220;406;778;1162;2185;1;5029
"33016 MACACU-CACERIBU";20;2;2;29;30;53;121;153;239;428;-;1077
"33017 ITAGUAI";41;6;8;63;98;166;258;440;554;781;2;2417
"33018 RIO DE JANEIRO";1811;260;286;3049;3739;5962;10450;20616;29063;51479;132;126847
"Total";2507;347;416;4171;5063;8171;14421;28091;38983;69040;166;171376
