"Microrregião IBGE";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"33001 ITAPERUNA";27;6;10;32;45;88;151;236;293;690;8;1586
"33002 SANTO ANTONIO DE PADUA";11;4;2;24;35;53;103;138;208;507;-;1085
"33003 CAMPOS DOS GOYTACAZES";146;27;32;174;222;255;505;743;884;1792;-;4780
"33004 MACAE";59;10;17;106;93;108;182;258;246;518;3;1600
"33005 TRES RIOS";34;3;3;31;46;74;154;219;244;458;-;1266
"33006 CANTAGALO-CORDEIRO";10;2;5;15;14;27;60;64;103;208;-;508
"33007 NOVA FRIBURGO";33;4;8;37;68;86;191;288;332;818;-;1865
"33008 SANTA MARIA MADALENA";5;-;1;4;10;18;29;40;35;92;-;234
"33009 BACIA DE SAO JOAO";39;11;8;50;79;61;116;173;181;381;1;1100
"33010 LAGOS";119;18;29;200;195;222;451;668;808;1463;8;4181
"33011 VALE DO PARAIBA FLUMINENSE";103;22;29;113;180;251;543;911;992;1854;-;4998
"33012 BARRA DO PIRAI";30;2;9;32;35;82;167;264;289;605;6;1521
"33013 BAIA DA ILHA GRANDE";43;9;13;73;66;91;131;195;222;392;-;1235
"33014 VASSOURAS";18;4;4;35;46;88;141;244;291;599;6;1476
"33015 SERRANA";115;8;19;70;102;193;440;711;818;1750;1;4227
"33016 MACACU-CACERIBU";21;4;7;24;34;44;88;132;160;345;-;859
"33017 ITAGUAI";39;2;9;101;99;90;210;288;316;521;8;1683
"33018 RIO DE JANEIRO";2101;300;458;3338;3431;4590;8680;15292;18047;38924;180;95341
"Total";2953;436;663;4459;4800;6421;12342;20864;24469;51917;221;129545
