"Microrregião IBGE";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"33001 ITAPERUNA";27;6;8;30;57;75;151;283;412;926;-;1975
"33002 SANTO ANTONIO DE PADUA";13;2;3;21;32;57;89;174;265;668;2;1326
"33003 CAMPOS DOS GOYTACAZES";145;16;33;140;189;282;500;939;1241;2459;-;5944
"33004 MACAE";56;10;11;82;96;119;194;300;400;711;1;1980
"33005 TRES RIOS";25;5;9;29;45;71;132;258;364;646;-;1584
"33006 CANTAGALO-CORDEIRO";5;-;3;10;12;41;46;96;136;299;-;648
"33007 NOVA FRIBURGO";22;4;4;27;51;83;164;318;496;1134;-;2303
"33008 SANTA MARIA MADALENA";1;-;1;9;9;7;16;38;58;111;-;250
"33009 BACIA DE SAO JOAO";30;7;6;54;43;96;134;239;296;550;1;1456
"33010 LAGOS";87;32;20;145;204;262;390;890;1265;2227;17;5539
"33011 VALE DO PARAIBA FLUMINENSE";108;14;29;156;214;354;457;984;1458;2618;9;6401
"33012 BARRA DO PIRAI";18;1;5;25;40;65;119;278;372;811;1;1735
"33013 BAIA DA ILHA GRANDE";35;7;15;70;79;76;149;254;337;449;-;1471
"33014 VASSOURAS";22;3;4;21;34;53;117;263;403;766;1;1687
"33015 SERRANA";70;20;42;93;123;207;391;745;1091;2325;3;5110
"33016 MACACU-CACERIBU";15;4;4;23;34;46;70;165;234;379;-;974
"33017 ITAGUAI";48;6;9;64;101;106;228;335;532;766;-;2195
"33018 RIO DE JANEIRO";1645;322;303;2416;3302;4589;7913;16113;23954;46855;82;107494
"Total";2372;459;509;3415;4665;6589;11260;22672;33314;64700;117;150072
