"Microrregião IBGE";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"33001 ITAPERUNA";27;3;6;33;50;68;129;255;337;702;-;1610
"33002 SANTO ANTONIO DE PADUA";34;2;7;21;32;55;78;174;220;525;-;1148
"33003 CAMPOS DOS GOYTACAZES";111;17;21;180;202;283;511;791;1053;2038;-;5207
"33004 MACAE";51;8;13;96;92;106;174;300;344;573;6;1763
"33005 TRES RIOS";39;6;6;26;37;72;134;228;306;524;1;1379
"33006 CANTAGALO-CORDEIRO";15;3;2;9;22;27;52;105;94;197;-;526
"33007 NOVA FRIBURGO";29;8;10;35;50;98;183;332;409;970;1;2125
"33008 SANTA MARIA MADALENA";3;-;1;1;8;11;22;33;50;103;-;232
"33009 BACIA DE SAO JOAO";31;9;9;67;47;61;125;216;303;432;2;1302
"33010 LAGOS";116;20;19;198;181;244;385;815;956;1750;15;4699
"33011 VALE DO PARAIBA FLUMINENSE";105;15;17;156;177;256;511;1019;1178;2191;3;5628
"33012 BARRA DO PIRAI";28;3;2;34;41;56;163;251;343;641;2;1564
"33013 BAIA DA ILHA GRANDE";41;10;9;125;89;101;135;227;265;439;-;1441
"33014 VASSOURAS";19;4;7;47;48;56;132;259;336;657;5;1570
"33015 SERRANA";78;20;13;80;98;194;397;761;978;1975;3;4597
"33016 MACACU-CACERIBU";12;4;5;24;27;47;96;136;178;359;2;890
"33017 ITAGUAI";62;12;12;109;81;112;185;365;432;666;1;2037
"33018 RIO DE JANEIRO";1992;308;355;3579;3434;4617;8194;16498;20705;42019;179;101880
"Total";2793;452;514;4820;4716;6464;11606;22765;28487;56761;220;139598
