"Microrregião IBGE";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"33001 ITAPERUNA";29;8;12;47;62;101;191;290;362;759;6;1867
"33002 SANTO ANTONIO DE PADUA";15;2;2;17;33;31;89;147;180;464;1;981
"33003 CAMPOS DOS GOYTACAZES";129;22;30;171;254;288;500;694;887;1651;-;4626
"33004 MACAE";50;10;10;82;98;92;183;221;253;404;17;1420
"33005 TRES RIOS";19;5;4;31;53;67;148;188;236;437;5;1193
"33006 CANTAGALO-CORDEIRO";6;-;5;4;15;26;43;53;86;195;1;434
"33007 NOVA FRIBURGO";42;25;83;82;109;156;260;303;351;760;34;2205
"33008 SANTA MARIA MADALENA";8;1;-;5;7;14;25;20;34;98;-;212
"33009 BACIA DE SAO JOAO";10;2;5;38;43;42;80;120;147;272;15;774
"33010 LAGOS";73;13;35;143;163;219;458;606;738;1263;33;3744
"33011 VALE DO PARAIBA FLUMINENSE";144;20;25;142;222;263;583;838;974;1820;17;5048
"33012 BARRA DO PIRAI";26;4;3;25;32;83;141;201;232;496;10;1253
"33013 BAIA DA ILHA GRANDE";17;2;5;65;76;73;113;172;187;293;16;1019
"33014 VASSOURAS";24;3;5;28;51;73;158;210;284;529;2;1367
"33015 SERRANA";91;26;82;112;153;280;496;715;852;1718;127;4652
"33016 MACACU-CACERIBU";15;1;5;16;41;47;93;124;170;313;5;830
"33017 ITAGUAI";15;4;9;50;68;90;161;219;236;387;37;1276
"33018 RIO DE JANEIRO";2351;359;538;2817;3614;4696;9642;15138;17997;35966;1048;94166
"Total";3064;507;858;3875;5094;6641;13364;20259;24206;47825;1374;127067
