"Microrregião IBGE";"Menor 1 ano";"1 a 4 anos";"5 a 14 anos";"15 a 24 anos";"25 a 34 anos";"35 a 44 anos";"45 a 54 anos";"55 a 64 anos";"65 a 74 anos";"75 anos e mais";"Idade ignorada";"Total"
"33001 ITAPERUNA";27;1;9;30;51;84;164;244;298;780;3;1691
"33002 SANTO ANTONIO DE PADUA";19;-;6;17;42;51;95;179;213;578;-;1200
"33003 CAMPOS DOS GOYTACAZES";128;14;27;161;179;260;471;830;999;1959;3;5031
"33004 MACAE";56;11;9;105;107;112;180;302;290;566;5;1743
"33005 TRES RIOS";38;8;8;25;46;69;125;216;276;564;1;1376
"33006 CANTAGALO-CORDEIRO";9;2;1;12;6;22;50;77;90;230;-;499
"33007 NOVA FRIBURGO";29;4;9;24;40;87;186;295;398;885;1;1958
"33008 SANTA MARIA MADALENA";4;-;2;4;8;9;23;44;50;113;-;257
"33009 BACIA DE SAO JOAO";26;11;4;56;63;82;112;217;252;422;1;1246
"33010 LAGOS";110;16;21;212;179;234;444;770;939;1746;16;4687
"33011 VALE DO PARAIBA FLUMINENSE";102;13;24;173;182;245;471;922;1165;2221;9;5527
"33012 BARRA DO PIRAI";29;5;7;40;37;61;135;246;326;670;4;1560
"33013 BAIA DA ILHA GRANDE";19;3;8;87;83;96;141;222;240;401;1;1301
"33014 VASSOURAS";27;3;2;38;38;64;144;244;304;594;3;1461
"33015 SERRANA";73;16;10;83;92;169;407;652;972;1823;2;4299
"33016 MACACU-CACERIBU";21;2;4;24;31;34;80;134;196;365;-;891
"33017 ITAGUAI";50;6;11;101;93;129;212;386;422;631;3;2044
"33018 RIO DE JANEIRO";1996;343;406;3715;3454;4489;8274;15654;19818;40353;171;98673
"Total";2763;458;568;4907;4731;6297;11714;21634;27248;54901;223;135444
